imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Central America,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0964185,,Tetro (2009),,,,"$41,618",,,,"$195,996",,,,,,,,,,,,,,,,,,,"$646,638",,,,,,,,,,"$631,756",,,,,,,,,,"$21,559",,,,,,,,,,,"$20,145","$82,669",,,,,"$18,829",,,,,,,"$696,742",,,,,,,,,,,,
1074929,,Adoration (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,203","$30,911",,,,,,,,,,,,,,,,,,,,,,"$4,681",,,,,,,,,,,,,,,,,,,"$11,620",,,,,,,,,,,,,,
1172570,,Bronson (2008),,,"$2,454",,,,,,,,,,,,,,"$4,753","$28,562",,,,,,,,"$23,577","$760,847",,,,,,,,,,,,,,,,,,,,,,,,,"$22,770",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,312,770",,,
0756703,,Feel the Noise (2007),,,,,,"$105,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$244,011",,,,,,"$34,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$168,965",,,,
0831299,,I Really Hate My Job (2007),,,"$1,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,507",,,,,,,,,,,,,,,,,,,,,
0396707,,The Secret of Moonacre (2008),,,,,,,"$12,038",,,,,,,,,,,,,,,"$80,119",,,,,,,,,,,,,,,,,,,,,,,,,"$690,415",,,"$41,927",,,,,,"$175,353","$76,628",,,,,,,"$373,270",,,,,,"$1,587,362",,,,,"$83,469",,,,,,,,
1186369,,Lorna's Silence (2008),"$91,085",,,"$19,953",,"$475,226",,"$61,957",,,,"$18,181",,,,,,,,,,,,,,,"$2,678,831","$224,889",,"$87,777","$7,861",$49,,,,,"$525,788",,,,,,,,"$2,956",,"$10,053",,"$31,300",,,"$21,973",,,,"$21,045",,,"$23,431",,,$235,,"$17,749",,,,,,"$22,814","$169,300","$24,970","$153,303",,,,"$31,412",,,"$49,580","$13,163",,
0054821,,Le Doulos (1962),,,,,,,,,,,,,,,,,,,"$82,772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,235",,,
1229360,,It Might Get Loud (2008),,,"$9,643","$43,880",,,,"$9,837",,,,,,,,,,,,,,,,"$4,126",,,,"$153,805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$53,076",,,,,,,,,,"$11,714",,,,,,,,,
1142433,,Post Grad (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,420",,,,,,,,,,"$6,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,226",,,,,,,,,,,,
1095442,,Goodbye Solo (2008),"$39,010",,,,,"$28,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,100",,
0973844,,To Each His Own Cinema (2007),,,,,,,,"$13,302",,,,,,,,,,,,,,,,,,,,,,,"$9,533",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$197,082",,,,,,"$71,644",,,,,,,,,,,,,
