imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2996932,,Game of Truth (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$959,004",,,,,,,,,,,,,,,,,,,
0307050,,Karlsson on the Roof (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$120,000",,,,,,,,,,,,,,,,,,,
0913446,,Zhara (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$364,775",,,,,,,,,,,,,,,,,,,
0290296,,Space Station 3D (2002),,"$3,436,855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$886,,,,,,,,,,,,,,,,,,,,,,,,"$9,935",,,,,,,,,
3778010,,Dead Awake (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,147",,,,,,,,,,,,,
1532261,,Antikiller D.K. (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,857,261",,,,,,,,,,,,,,,,,,,
1202532,,Platon (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,129,279",,,,,,,,,,,,,,,,,,,
2321517,,The Spy (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,588,176",,,,,,,,,,,,,,,,,,,
2167970,,Bilet na Vegas (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,809,572",,,,,,,,,,,,,,,,,,,
0477337,,The Sword Bearer (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,130,000",,,,,,,,,,,,,,,,,,,
0814236,,Moscow Mission (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,212,116",,,,,,,,,,,,,,,,,,,
0283957,,Dead Weight (2002),,,,,,,,"$18,243",,,,,,,"$5,469",,,,,,,,"$16,325,873",,,,,,"$198,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$250,210",,,,,,,"$208,189",,,,,,,,,,,,
0459924,,Paragraph 78 (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,965,266",,,,,,,,,,,,,,,,,,,
0854151,,Nulevoy kilometr (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,243,776",,,,,,,,,,,,,,,,,,,
0976209,,Lyubov-Morkov (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,640,308",,,,,,,,,,,,,,,,,,,
