imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies
0318462,,The Motorcycle Diaries (2004),"$471,133","$2,640,298","$352,748",,,"$1,289,018",,"$2,697,043",,,,"$180,251",,,,,,,"$418,818","$16,781,387",,,,,,"$76,774","$4,400,638","$3,441,697","$491,500","$74,701",,"$72,240",,,,"$5,106,046",,,,,,,,,,,"$2,914,488",,,"$622,100","$739,114",,"$533,433",,,,"$62,883","$349,930",,,"$9,116",,"$37,385",,"$21,469",,,"$65,327",,"$207,899","$1,807,447","$135,979","$1,431,783","$166,606",,"$188,915",,,"$4,914,286",,"$33,576",
0365748,,Shaun of the Dead (2004),$1,"$1,241,586",,,,"$45,314",,,,,,,,,,,,,,"$13,542,874",,,,,,,"$812,500","$1,126,737",,,,"$34,045",,,,,,,,,,,"$6,643",,,,,"$60,518",,"$158,356","$110,706",,,,,,"$96,019",,,,,,,,,,,,,"$367,556","$64,240",,,,,,,"$59,518","$20,959,922",,,
0071877,,Murder on the Orient Express (1974),,"$21,332",,,,,,,,,,,,,,,,,,"$27,634,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,469",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0307453,,Shark Tale (2004),"$1,401,161","$11,359,275","$1,962,491",,,"$3,357,414",,"$4,493,719","$25,848",,"$1,504,264","$972,766","$1,938,000","$1,018,183","$240,147","$81,955","$713,537","$778,075","$2,044,862",,,,"$128,851","$9,634","$127,113","$879,124","$22,215,827","$12,243,062","$1,454,377","$1,367,302","$865,745","$250,552","$147,022","$329,186","$1,676,675","$11,790,369",,"$17,633,242",,"$26,644",,"$128,878","$120,811",,"$142,956","$595,641","$9,355,184",,"$696,878","$4,747,453","$1,690,111",,"$3,247,233",,"$656,897","$840,251","$3,626,105","$1,455,022",,,"$90,372","$4,935,752","$5,429,469",,"$25,710","$1,424,556",,"$200,188","$2,387,320","$5,582,052","$11,116,168","$3,613,859","$2,192,724","$2,314,865","$632,689","$910,919","$356,016","$453,820","$40,866,788",,"$848,862",
0349710,,Ladder 49 (2004),"$109,980","$4,558,279","$155,732",,,,,"$61,217","$21,305",,,"$44,745",,,"$19,753",,"$53,086",,"$130,856",,,,,"$29,557",,"$19,893","$583,989","$509,526","$100,950","$809,118","$33,287","$67,140",,,,"$1,468,130",,"$3,950,752",,,,,"$37,893",,,"$152,000","$1,001,496",,,"$520,439","$292,669",,"$507,441",,,"$115,000",,"$244,045",,,"$14,383",,"$689,448",,,,"$9,123","$42,172","$332,110","$189,539","$2,141,045","$355,878","$57,995","$547,764","$182,500","$56,737",,"$146,320","$1,385,379",,,
0356721,,I Heart Huckabees (2004),,"$595,305",,,,,,,,,,,,,,,,,,"$12,785,432",,,,,,,"$209,237","$416,681","$40,500",,,,,,,"$177,897",,"$242,540",,,,,,,"$1,891",,,,,,"$28,611",,,,,,,,,,,,,,,,,,"$22,737",,"$1,804,738",,,,,,,,"$1,122,687",,,
0361696,,Raise Your Voice (2004),,"$2,532,118",,,,,,,,,,,,,,,"$3,611",,,,,,,,,,,,,,,,,,,"$818,660",,,,,,,,,,,"$470,622",,,"$249,008","$321,186",,,,,,,,,,"$3,781",,,,,,,,,,,,,,,,,"$29,330",,,,
0316732,,Taxi (2004),,"$2,019,193",,,,,,"$864,981","$120,911","$451,186",,,"$2,436,417","$170,300",,,,,,"$36,879,320","$58,396",,"$32,538",,,,"$35,418","$489,499","$318,308",,"$281,664","$73,722",,"$340,265",,"$25,096","$63,138","$3,117,303",,,,,"$45,638","$78,767",,"$343,808","$1,984,746",,"$824,409",,"$414,768",,,,,"$241,759","$179,467","$145,148","$1,050,627",,"$35,835",,"$1,503,098","$1,400,668","$19,764","$535,580",,"$158,670","$1,614,443","$1,020,420","$6,760,422",,,"$837,648","$490,300","$434,518",,"$548,188","$2,330,567",,"$478,090",
0384810,,Around the Bend (2004),"$59,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$163,360",,,,,,,,,,,,,,,,,,,,,,,,"$142,748",,,,,,,"$11,155","$8,977",,,
0390384,,Primer (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$120,676",,,,,,,,,,,
0368658,,Stage Beauty (2004),,"$181,268",,,,,,,,,,,,,,,,,,"$782,383",,,,,,,"$245,297",,"$21,600",,,,,,,"$212,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$154,022",,,,,,,,,"$556,369",,,
