imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kenya,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Norway,Palestine,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0085811,,Krull (1983),,,,,,,,,,,,,,,,,,,"$16,916,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0064940,,Fellini Satyricon (1969),,$452,,,,,,,,,,,,,,,,,"$1,135,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,499",,,,,,$214,,,,,,,,,,,,,,,,,,,,,,,,,,
0069191,,Roma (1972),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$190,,,,,,,,,,,,,,,,,,,,,,,,,,
0080539,,City of Women (1980),,,,,,,,,,,,,,,,,,,"$12,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0080319,,9 to 5 (1980),,,,,,,,,,,,,,,,,,,"$103,290,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$543,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,643",,,,
0066011,,Love Story (1970),,,,,,,,,,,,,,,,,,,"$106,550,690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0093713,,Pelle the Conqueror (1987),,,,,,,,,,,,,,,,,,,"$2,063,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0048021,,Rififi (1955),,"$3,367",,,,,,,,,,,,,,,,,"$517,975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0183790,,A Knight's Tale (2001),,"$4,518,086","$1,064,020",,,,"$1,518,614","$79,735",,,,,,,,"$182,539",,"$237,370","$56,569,702",,,,,,,"$1,667,978","$7,358,459",,,"$54,686","$217,274",,,,,"$2,800,000",,,,,,,,,"$5,376,705",,,"$642,363",,,,,,,,,,,,,,,,,,,,"$4,007,929",,,,"$105,510",,,,,"$10,137,404",,,,
0212826,,Bread and Roses (2000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$173,397",,,,
0256408,,Startup.com (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,"$204,166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,763",,,,
0225071,,Angel Eyes (2001),,"$79,625","$119,422",,,,"$532,916","$5,044",,,,,,,,,,,,,,,,,,"$414,118","$1,104,594",,,"$21,132",,,,,,,,"$619,486",,,,,,,"$1,185,886",,,"$9,087",,,,,,,,,,,,,,,,,,,,"$430,893",,,,,,,,,"$236,396",,,,
0126029,,Shrek (2001),"$3,499,185","$22,103,398","$2,118,942",,"$2,892,160",,"$4,565,267","$19,961",,"$1,180,000","$1,898,158","$849,069","$973,972","$81,929",,"$146,159",,"$2,317,359","$268,163,011",,,,,,"$992,266","$21,109,691","$17,028,144","$748,437",,"$2,265,381","$923,149",,,"$127,693","$3,436,623","$5,525,525",,"$18,055,730",,,,,,"$185,145","$14,580,514",,,"$2,454,782","$2,380,582","$1,770,335",,"$625,929","$522,780","$4,920,386","$1,251,572",,,"$1,070,302",,,,,"$1,060,275",,"$58,340","$1,974,552","$10,455,458","$11,327,553",,"$2,630,288","$2,821,794","$1,766,789","$675,696","$602,303",,,"$42,520,754",,"$1,764,030",,
0206742,,Fast Food Fast Women (2000),,,,,,,,,,,,,,,,,,,,,,,,,,,"$211,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0203009,,Moulin Rouge! (2001),"$1,912,788","$14,341,212","$912,956",,"$2,138,464","$31,603","$1,453,931","$56,732","$249,862",,"$386,525","$1,294,898","$331,177","$132,483",,"$422,456","$475,693","$363,403","$57,386,607","$55,815",,"$109,142","$131,597","$140,412","$1,052,169","$6,516,910","$7,787,853",,"$1,187,550","$694,960","$526,123","$231,798","$220,955","$228,274","$1,009,628","$4,242,609","$4,647","$7,224,752",,"$163,400","$242,640","$10,785","$149,230","$144,641","$2,985,853",,"$149,158","$1,648,589",$211,"$1,385,800",,"$275,270","$474,405","$748,069","$799,983","$139,597","$51,029",,,"$1,644,844","$839,870","$62,150","$700,013",,"$116,755",,"$5,208,677","$7,495,637",,"$3,089,625","$1,989,032","$2,272,455","$398,666","$487,402",,,"$32,733,745","$92,903","$383,850",,
0213149,,Pearl Harbor (2001),,"$10,034,063","$3,240,873",,,,,"$104,698",,,,,,,,"$921,509",,"$2,440,146",,,,,,,,,"$28,113,392",,,,,,,,,,,,,,,,,,,,,"$537,630",,,,,,,,,,,,,,,,,,,,,,,,"$1,073,799",,,,,"$18,156,652",,,,
0210727,,Himalaya (1999),,"$725,093",,,,,,,,,,,,,,,,,"$2,619,885",,,,,,,,,,,,"$12,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$238,629",,,,,,,,,,,,,
0206917,,The Man Who Cried (2000),,"$146,001","$10,922",,,,,,,,,,,,,,,,"$747,092",,,,,,,,"$154,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$232,331",,,,"$31,676",,,,,,,,,
0054130,,The Night (1961),,,,,,,,,,,,,,,,,,,"$39,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,467",,,,,,,,,,,,,,,,,,,,,,,,,,
