imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Peru,Philippines,Poland,Portugal,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2094064,,Much Ado About Nothing (2012),,"$233,918","$5,239",,"$13,587",,"$33,386",,,,,,,,,,,,,,"$35,339",,,,,,,,,,,,,,,"$80,578",,"$120,003",,,,,,,,,,,,,,,"$18,776",,,,,,,,"$471,546",,,
2066176,,Any Day Now (2012),,,,,,,,,,,,,,,,,,,,,,,,"$52,920",,,,,,,,,,,,,,"$4,105",,,,,,"$3,327",,,,,,,,,,,,,,,,,,,,
0770828,,Man of Steel (2013),"$5,118,015","$22,342,258","$1,315,939",,"$2,158,005","$563,656","$16,006,429","$222,756","$2,753,006","$63,440,000","$5,669,834","$359,095","$603,947","$2,412,441",,"$298,222","$2,158,807","$615,246","$895,070","$20,914,412","$9,806,671",,"$1,102,332","$4,296,428","$611,768","$255,567","$6,329,491",,"$1,216,464","$6,102,107","$8,993,829",,"$417,625",,"$6,351,839","$21,127,388","$3,054,027","$2,818,528","$172,276","$3,045,792","$2,595,643","$8,927,595","$1,210,265","$884,664",,"$10,424,135","$113,762","$5,020,889","$255,692","$120,800","$1,873,658","$14,993,036","$10,029,587","$3,696,064",,,"$3,165,288","$1,909,313","$1,039,036","$4,296,989","$46,198,857","$186,529","$4,215,687",
2179116,,The Kings of Summer (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$93,240",,,"$4,252",,,,,,,"$48,608",,,,"$15,716",,,,"$24,189",,,
2064849,,London Paris New York (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931435,,The Big Wedding (2013),"$383,847","$4,560,978","$276,677",,"$338,931",,"$952,800","$69,950","$74,092",,"$105,859","$157,616","$121,372","$91,230",,,"$9,870",,"$265,421","$1,190,937","$1,043,766",,"$316,073","$369,160","$320,526","$52,636",,,,"$833,640",,,"$245,157",,"$21,456","$1,410,469","$1,205,559",,"$21,079","$190,524","$352,971","$72,228","$666,909","$258,213",,"$1,044,563","$34,885","$211,358","$73,604","$67,030","$507,992","$132,326","$3,126,454",,,,"$40,851",,"$180,108","$477,012","$1,981,441","$61,810","$783,409",
2073086,,Still Mine (2012),,"$174,083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$68,997",,"$118,128",,,"$7,749",,,,,,,,,,,,"$24,437",,,,,,,,,,,
1674773,,Hannah Arendt (2012),"$179,509","$214,040","$184,907",,"$184,770",,"$736,043",$795,,,,,,,,,,,,"$1,204,617","$3,562,865",,"$64,327",,,,,,,,,,,,,"$88,977","$327,752","$36,503",,"$47,540",,,"$16,137","$154,355",,,,,,,,,"$965,081",,,,,,,,"$153,612","$41,901",,
2184339,,The Purge (2013),"$591,733",,"$354,487",,"$382,020","$20,896","$198,209",,"$103,474",,"$269,264",,"$110,800","$162,766",,,"$61,975","$57,404","$113,881","$2,933,081","$2,992,582",,,"$72,892","$19,920","$17,147",,,"$60,208","$1,422,389",,,"$31,320",,"$321,520","$764,889","$612,101",,"$2,845","$19,356","$195,818","$180,075","$293,312",,,"$1,149,068","$6,665","$371,643","$49,523","$23,597","$35,439","$722,520","$1,894,336","$318,080",,,"$254,062","$249,210",,"$429,148","$5,333,028","$25,348","$630,843",
1785389,,God Bless Ozzy Osbourne (2011),,,,,,,,,,,,,"$3,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,927",,,
2032557,,The Reluctant Fundamentalist (2012),,"$644,807",,,,,,,,,,,,,"$552,959","$6,862",,,,,,,,"$32,691",,,"$273,299",,,"$163,590",,"$1,360","$8,196",,"$17,476",,,"$193,098",,,,,,"$42,668",,,,"$43,691",,,"$10,642",,,"$12,286",,,,"$12,317",,,"$160,634",,,
0922354,,After Him (2007),,"$60,443",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,092",,,,,,,,,,,,,,,,,,
2396566,,20 Feet from Stardom (2013),,"$111,399","$15,942",,"$6,216",,,,,,"$10,792",,,,,,,,,"$36,265","$45,236",,,"$21,819",,,,,,,,,,,,"$7,355",,"$262,011",,,,,"$11,226",,,,,,,,,,"$46,499",,,,,,,,"$318,163",,,
2132285,,The Bling Ring (2013),"$91,514","$68,751","$214,479",,"$342,521",,"$623,885","$28,060",,,,"$27,111","$38,587",,,,,,"$372,076","$2,798,153","$1,303,099",,,"$53,928",,"$19,435",,,,"$4,112,052",,,"$48,967",,,"$957,089","$170,089",,,"$191,131",,"$26,006","$252,793","$156,075",,"$469,955",,"$86,834","$7,224","$21,449","$28,430",,"$157,022","$360,033",,,"$90,026","$27,589","$10,490","$101,487","$937,497","$6,007",,
1006823,,The Mugger (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,878",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453405,,Monsters University (2013),"$23,556,117","$21,747,067","$2,049,943",,"$2,361,724","$943,654","$16,549,029","$481,767","$8,179,562","$33,720,000","$9,828,890","$158,823","$1,435,278","$2,348,460","$268,492,764","$34,173","$2,498,089","$357,218","$1,920,321","$17,835,364","$13,725,624",,"$795,007","$9,977,958","$990,449","$303,008","$310,404",,"$2,171,349","$11,916,082","$90,141,508",,"$346,650","$226,268","$2,250,989","$37,608,021","$2,486,483","$2,414,236",,"$2,651,123","$3,318,196","$1,831,386","$3,372,349","$1,822,562",,"$20,647,071","$83,829","$2,661,042","$589,752","$158,635","$1,789,814","$5,411,358","$14,627,988","$3,979,990",,,"$1,467,052","$1,852,665","$1,819,964","$2,884,219","$47,166,338","$1,094,940","$8,724,100",
