imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0794350,,I Just Didn't Do It (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,631",,,,,,,,,"$9,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,965",,,,,,,"$6,525",,,,,,,,,
0841922,,The Bastards (2008),,,,,,,,,,,,,,,,,,,,,,,,,,"$52,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0273326,,Truly Human (2001),,,,,,,,,,,,,,,,,"$228,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,574",,,,,,,,,,,,,,,
1691323,,Attenberg (2010),,,,"$21,276",,,,,,,,,,,,,,,,,,,,,,"$25,803",,,"$24,649",,,,,,,,,,,,,,,,,"$22,563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,176",,,
1176096,,Night and Day (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$75,557",,,,,,,,,,,,,,,,
0283027,,The Pool (2001),"$5,086",,,,,,,,,,"$10,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$210,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255953,,Incendies (2010),"$84,357",,"$838,632","$3,923",,"$382,558",,"$220,501",,,,,,,,,"$68,452",,,,,,,,,,"$271,767",,,"$39,330",,,,,,,"$688,878",,,,,,"$17,915",,,"$127,394",,"$80,604","$284,619",,"$98,985",,,,,"$26,401","$14,379",,"$3,605",,"$12,759",,"$24,207",,,,"$463,882","$613,628","$119,372",,,,,"$44,197",,,"$18,933",,"$6,187","$146,105","$24,204",,
1259570,,Neon Flesh Extra (2010),"$10,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,166,432",,,,,,,,,,,,,,,
1596346,,Soul Surfer (2011),,,"$290,744",,,,,,,,,,,,"$7,601",,,"$43,853,424","$15,545",,,,,,,,"$26,116",,,,,,,,,,"$28,434",,"$1,165,126",,,,,,,"$74,781",,,"$32,987",,,,,,,,,,,,,,,,,"$111,016",,"$1,394,949",,,,,,,,,,,,"$120,436",,,
0491152,,Something Borrowed (2011),"$317,695",,"$3,949,245","$730,186",,"$169,415","$6,705","$1,803,118","$28,023",,,,"$87,015","$91,554",,"$52,848",,,,,,"$87,322","$30,631",,"$158,246",,"$2,387,212",,"$94,758","$342,780","$265,324","$41,275",,,,,,,,,,"$42,524","$95,634","$37,123","$124,016","$2,252,141",,"$610,511","$294,530",,"$80,479",,,"$144,694","$58,616","$425,521","$174,742",,"$232,026",,"$2,384,671","$25,563","$304,033","$63,015","$44,544","$653,369","$740,256","$1,193,047","$367,813",,,,,"$185,397","$183,221",,"$441,269","$176,192","$113,602","$3,471,553","$27,359","$330,015","$133,052"
