imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Baltic States,Bangladesh,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Djibouti,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mauritius,Mexico,Middle East,Middle East Other,Middle East/UAE,Morocco,Netherlands,New Caledonia,New Zealand,Norway,Oman,Pakistan,Palestine,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Tunisia,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0216689,,Les Destinées (2000),,,,,,,,,,,,,,,,,,,,,,,,"$230,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$393,,,,,,,,,,,,,,,
0042876,,Rashomon (1950),,,,,,,,,,,,,,,,,,,,,,,,"$46,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,571",,,,
0264472,,Changing Lanes (2002),"$170,917",,"$154,107","$292,398",,,,,,"$320,006","$27,422",,,"$32,705",,,,,,,,,,,,,,"$25,644",,"$184,788","$1,283,814","$2,595,243","$324,200","$156,379","$85,904",,,,,"$2,139,520",,"$3,270,650",,,,,,,,,,,"$1,468,711",,,,,"$527,947",,"$229,222","$152,976",,,,,,,,,,,,,,,,,,,,"$319,739","$952,562","$3,429,511",,,,"$200,470",,,"$403,614",,,"$4,395,522",,,,
0264616,,Frailty (2001),,,"$88,965","$121,291",,,,,,,,,,,,,,,,"$17,632",,,,,,,,,,,"$722,160","$629,795",,,,,,,,"$828,042",,,,,,,,,,,,,"$149,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,153",,"$1,383,413",,,,"$6,763",,,,,,,,,,
0191074,,New Best Friend (2002),,,,,,,,,,,,,,,,,,,,,,,,"$46,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,159",,,,,,,,,,,,,,
0253867,,The Sweetest Thing (2002),"$85,494",,"$2,778,627","$998,123",,,,,,"$1,820,097","$46,013",,,"$70,711",,,,,,,,,,"$24,718,164",,,,,,"$344,165","$2,399,342","$6,670,065","$290,000","$131,051","$247,359",,,,,"$2,657,870",,,,,,,,,,,,,"$2,110,318",,,,,"$1,376,782",,"$353,134","$622,656",,,,,,,"$277,373",,,,,,,"$476,930",,,,,,"$189,565","$1,533,187","$4,151,645",,,,"$173,903",,,"$322,480",,,"$3,370,167",,,,
0266391,,The Cat's Meow (2001),,,"$393,888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0219822,,Human Nature (2001),,,"$3,974",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$635,138","$28,140",,,,,,,,"$21,723",,,,,,,,,,,,,,,,,,,,,"$74,772",,,,,,,,,,,,,,,,,,,,,,"$86,231",,,,,,,"$19,374",,,,,,,
0259446,,My Big Fat Greek Wedding (2002),"$1,187,435",,"$15,168,243","$1,635,436",,,,,,"$2,634,135","$63,147",,,"$617,591",,,,,,"$323,924",,,,,,,,"$48,918",,"$740,662","$2,514,049","$12,234,875","$4,640,150","$260,115","$751,887",,,,,"$14,562,268",,"$3,974,438",,,,,,,,,,,"$6,647,852",,,,,"$830,541",,"$1,626,877","$619,400",,,,,,,"$992,030",,,,,,,"$43,896",,,,,,"$1,830,890",,"$6,933,940",,,,"$506,187",,,"$24,073",,,"$20,927,227",,,,
0038890,,"Rome, Open City (1945)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,252",,,,,,,,,"$19,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,
