imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
5161658,,Bling (2016),,,,,,,,,,,"$171,046",,,,,,,"$53,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$85,000",,,,,,"$148,260",,,,,,"$584,849",,,,,,,,,,,,,,
0376479,,American Pastoral (2016),,,,,,,,"$20,403",,,"$18,163",,,,,,,,,,"$18,874","$99,399",,"$34,010",,"$27,962",,,,,"$817,402",,,,,,,,,,"$23,326",,,,,,,,,,,"$70,910",,,"$11,525",,,"$1,933",$491,"$10,850","$10,967","$136,240",,,,,,,"$18,365","$17,967","$37,218","$137,099","$6,234",,
1725969,,Ethel & Ernest (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$67,842",,,,,,,,,,,"$111,385",,,
4296800,,Ladrones (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$440,909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4620316,,One Floor Below (2015),"$24,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4034228,,Manchester by the Sea (2016),"$413,438","$2,425,326","$312,677",,"$375,033","$14,922","$603,431",,"$113,700","$1,167,763","$101,449","$56,444",,"$55,245","$391,543",,"$18,388","$62,757","$16,067","$48,495","$358,951","$3,288,833","$2,723,647","$378,096","$223,133","$81,802","$24,679",,,"$742,451","$2,120,953",,"$1,462,747",,,"$21,204","$37,554","$28,318",,"$495,473","$1,002,776","$228,679",,"$721,318",,,,"$7,671","$78,690",,"$282,873","$453,684",,,"$199,887",,"$51,803","$16,929","$42,971","$172,444","$395,719","$2,286,051","$1,039,345","$805,929",,"$374,738","$49,110",,"$165,895",,"$98,364","$4,561,092","$63,540","$25,530",
3741834,,Lion (2016),"$747,656","$22,887,820","$392,932",,"$1,387,812","$794,008","$786,689","$49,836","$185,613","$2,534,618","$262,758","$209,167",,"$47,856","$809,032","$51,738,905",,,,"$82,416","$237,930","$1,336,945","$4,682,467","$178,053","$373,378","$57,099","$50,649","$453,997",,"$2,199,329","$4,417,584",,"$2,899,653",,,,"$122,752","$118,521",,"$941,895","$2,174,010","$2,930,174",,"$1,257,631",,,"$44,476",,"$169,034",,,"$327,024",,"$277,669","$330,315","$99,451",,"$60,310","$31,619","$530,605","$665,418","$3,005,872","$2,227,605","$2,777,034",,"$304,347",,,"$214,350","$24,080","$263,345","$15,407,947","$237,748",,
5263116,,At War with Love (2016),"$21,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6044910,,Operation Mekong (2016),,"$494,196",,,,,,,,"$172,477,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$67,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3289956,,The Autopsy of Jane Doe (2016),"$559,481",,,,,"$93,531","$810,674",,,,"$389,799","$38,569",,,,,,,,,,"$1,280,407",,,,,,,,,"$480,426",,,,,,,"$36,234",,"$1,192,311",,,,"$459,081",,,,"$44,742",,,"$167,497","$48,765",,,"$188,620",,,,,,"$148,126","$29,815",,,,,,,"$70,345","$15,433",,"$16,065","$89,648",,
