imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Peru,Philippines,Poland,Portugal,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1781843,,The Minister (2011),"$64,979",,,,,,"$41,937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847731,,Tomboy (2011),,,"$12,954",,"$50,180",,"$139,119",,,,,,,,,,,,,,,"$88,868",,,,,,,,,"$597,386",,,,,,,,,"$34,429",,"$38,688",,,,,,,,,,,,"$222,992","$64,392",,,,"$10,882",,,,,"$47,777",,,
1016307,,Glasses (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,028,005",,,,,,,,,"$25,448",,,,,,,,,,,,"$48,360",,,,,,,,,,,,,
0815092,,Actresses (2007),,,,,,"$11,533","$14,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0467506,,The Heirloom (2005),,,,,,,,,,,,,,,,,,,,,,,,,"$108,114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,494",,,,"$252,966",,,,,,,,,
1113829,,George Harrison: Living in the Material World (2011),,"$107,548",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,528",,,,,,,,,,,,,,,,,,,
0970179,,Hugo (2011),"$2,294,166","$10,813,466","$597,378",,"$1,532,587","$115,963","$7,575,951",,,"$619,888",,"$1,208,170",,"$301,095","$508,003","$73,864,507","$6,238","$497,324",,"$312,180","$9,600,362","$6,319,061",,"$1,363,335","$662,332","$105,388","$43,653","$202,607","$715,238","$445,630","$9,526,733",,"$11,695,447",,"$113,467",,,"$3,280,798","$1,307,946","$927,209",,"$527,499","$943,662","$103,206","$385,476","$1,576,976",,"$5,922,725",,"$386,058","$88,630",,"$430,039","$382,994","$7,896,643","$512,945","$1,904,000",,"$145,800",,"$776,652","$710,530","$420,159","$8,743,731","$141,578","$864,313",
1562568,,Higher Ground (2011),,"$199,892",,,,,,,,,,,,,,"$841,733",,,,,,,,,,,,,,,,,,,,,,,,"$1,637",,,,,,,,,,,,,,,,,,,,,,,,,,,
1674784,,Trespass (2011),,,,,,"$1,847","$1,941,089","$68,236",,,,"$105,646","$48,158",,,,,,,"$29,857","$1,180,065",,,"$44,691","$132,438",,"$9,808",,,,,,,,,,"$270,421","$913,177","$407,570",,,,"$240,465","$97,841","$214,175","$290,680",,"$837,868",,"$136,699",,,,,"$1,620,801",,,,"$180,567",,"$157,539",,"$270,557","$893,677",,,
1253864,,Immortals (2011),"$1,717,399","$4,566,553","$1,153,787",,"$785,469","$110,874","$14,390,947","$581,837",,"$270,618",,"$1,473,046","$307,520","$551,613","$665,358",,"$32,413",,,"$307,547","$3,292,169","$8,446,489",,"$2,834,394","$982,945","$570,563","$84,246",,,,"$5,595,234",,"$5,349,198",,"$406,618",,"$1,876,170","$5,365,813","$1,769,577","$776,866","$67,873","$678,171","$1,076,036","$879,832","$1,701,753","$536,678",,"$15,616,648","$166,378","$1,736,665","$233,744","$149,569","$699,240","$10,227,757","$7,710,989","$1,034,944",,,"$1,480,663",,"$3,353,587","$1,460,812","$1,597,077","$9,780,526","$70,504","$1,971,045",
