imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Canada,Central America,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Saudi Arabia,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
3623726,,Ricki and the Flash (2015),"$320,555",,"$2,121,567","$198,447","$7,829","$57,429","$10,168","$553,986",,,,,"$20,910",,"$20,804","$45,904",,"$194,557","$79,466",,,"$41,771",,"$19,678",,"$45,331","$699,591","$1,250,529",,"$124,444",,"$56,141",,"$39,467",,,"$164,404","$815,236",,"$260,768",,,,"$21,511","$24,173","$10,058",,"$296,730",,"$164,334","$236,207",,,,,,,"$37,722","$23,704","$525,261","$201,998",,"$4,769","$39,020",,"$150,726",,,,"$81,099",,"$51,918","$107,836","$2,014,409","$159,201",,"$119,357","$322,694",,,,"$64,376",,"$63,730","$334,055","$28,895","$436,923",
3417756,,Shrew's Nest (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3904770,,August Winds (2014),"$1,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3767372,,Piku (2015),,,"$219,971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,813",,,,"$32,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$369,261",,,
2848292,,Pitch Perfect 2 (2015),"$51,980",,"$20,939,529","$2,306,456","$34,012","$785,140","$4,780","$408,278","$12,805",,,,"$18,994",,"$18,384","$40,626",,"$63,350","$124,803",,,"$49,780","$38,347","$25,255",,,"$1,861,016","$11,353,367",,,"$433,047","$222,570","$181,542","$47,616",,,"$278,493","$579,652",,,"$44,393","$40,436",,"$27,006","$80,575","$26,741","$2,127,666","$695,136",,"$2,347,107","$3,317,703","$32,263","$925,082","$33,307",,,,"$89,387","$4,638,129","$79,150","$113,858",,"$71,839",,,"$249,581",,"$16,292","$2,260,864","$12,674","$99,884","$2,028,415","$395,314","$2,866,318","$992,716",,,"$934,399","$4,377,856","$247,626",,,"$72,845",,"$27,259,230","$3,678","$325,706","$126,609"
2318440,,Adventure Planet (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$569,436",,,,,,,"$166,222",,,,,,,"$551,577",,,,,,,,
0428283,,A Buddha (2005),"$62,675",,,,,,,"$54,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4341806,,El Bosque de Karadima (2015),"$3,321",,,,,,,,,,,,"$1,360,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0434541,,Macbeth (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,257",,,
3074610,,Bad Hair (2013),"$4,983",,,,,,,"$75,250","$2,503",,,,,,,,,,,,,,,,,,"$90,944","$3,456",,,,,,,,,,,,,,,,,,,,"$3,512",,,,,,,,,,,,,,,,,,,,,,,,,,"$58,384",,,,,,,,,,,,,"$2,415,347",
