imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Panama,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1181791,,Black Death (2010),,,,,,,,,,,,,,,,,,"$22,554",,,,,,,,,"$242,764",,,,,,,,,,,,,,,"$7,127",,"$84,630",,,,,,,,,,,,,,,,"$25,804",,,,,,,,,,,,,,,,,
0940580,,Afterwards (2008),,,,,,"$88,415",,,,,,,,,,,,,,,,,,,,"$2,332,825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$551,443",,,,,,,"$324,158",,,"$7,125",,,,,,,,,
1156466,,Undisputed 3: Redemption (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,975",,,,,,,,,,,,,"$3,161",,,,,,,,,,,,,,,,,,"$278,573",,,,
1477076,,Saw 3D (2010),"$1,467,534",,"$2,424,417","$1,998,947",,"$851,471","$98,294","$4,255,802","$241,588",,"$683,075",,"$1,991,350","$112,350",,"$580,755",,"$45,710,178",,,"$455,608",,"$151,051",,"$428,682","$5,560,500","$10,999,677",,"$849,941","$956,017","$398,799","$11,477",,,,"$7,037,160",,"$4,136,240",,,"$123,084","$240,371","$154,115",,"$1,342,094","$1,016,037","$224,420",,"$311,959",,,"$688,746","$210,526","$2,189,236","$903,034",,"$523,390","$5,370,092",,"$118,834","$292,098","$313,423","$268,032","$1,269,754","$5,055,458","$2,258,133","$1,290,418","$695,862","$5,305",,"$3,852,405",,"$747,699","$12,878,181","$127,998","$1,151,381",
1231583,,Due Date (2010),"$938,241",,"$10,367,478","$1,894,789",,"$1,282,667","$65,265","$3,173,988","$208,186",,"$316,563",,"$639,569","$234,707",,"$200,013","$1,662,389",,,,"$179,643","$155,505","$106,956",,"$758,200","$6,505,509","$13,028,652","$12,055","$1,703,059","$438,562","$971,977","$206,197",,"$368,517","$1,270,218","$5,406,458",,,,,"$109,520","$240,740","$166,911","$290,512","$4,592,401","$2,111,394",$635,"$41,852","$1,635,746",,,"$247,240","$310,714","$1,535,180","$1,641,765",,"$647,275","$7,481,785","$127,159","$865,407",,"$230,944","$1,342,183","$372,838","$3,905,948","$2,241,876","$2,520,978","$835,999","$260,692",,"$779,563","$813,329","$1,041,044","$16,344,250","$166,766","$615,547","$97,915"
1542344,,127 Hours (2010),"$254,158",,"$3,590,355","$304,726","$6,045","$398,894","$46,013","$1,240,129","$3,826",,"$318,318",,"$211,659","$25,051",,"$268,097","$81,469",,,"$2,561","$141,130",,"$42,916",,"$424,449","$2,895,060","$1,783,233",,"$133,721","$873,239","$32,475","$14,533","$976,881",,,"$908,310",,"$468,959",,"$276,709",,"$25,438",,"$356,996","$1,143,116","$448,219","$522,881",,"$562,937","$12,657",,"$236,440","$329,591","$279,052","$425,503","$18,549","$6,968","$906,061","$37,495","$518,989",,,"$115,189","$1,193,430","$2,149,650","$607,081","$571,483","$374,441","$103,478",,"$300,493",,"$302,249","$12,513,887","$54,232","$51,876",
1001526,,Megamind (2010),"$2,864,778",,"$15,816,607","$1,083,480",,"$1,340,560","$278,640","$10,259,047","$297,929",,"$1,135,920",,"$2,400,191","$203,222",,"$413,488","$1,253,001",,,,"$798,821","$131,336","$133,373",,"$873,889","$11,629,091","$4,399,694",,"$384,412","$998,360","$271,880","$165,292",,"$1,260,778","$1,339,654","$9,751,231",,,,,"$159,986","$200,885","$264,917","$1,586,482","$14,231,674","$1,636,203","$1,486,230",,"$1,491,176",,,"$1,253,184","$1,270,543","$2,698,582","$1,036,132",,"$272,192","$22,006,475","$34,023","$2,511,869","$90,517","$177,852","$1,895,039","$8,060,878","$9,807,726","$2,482,015","$1,228,520","$528,594","$423,323",,"$736,330","$1,780,018","$996,492","$16,048,975","$113,281","$2,512,019","$551,383"
0947798,,Black Swan (2010),"$1,967,697",,"$14,838,638","$2,190,493",,"$2,780,060","$115,693","$8,838,452","$70,515",,"$1,122,992",,"$1,434,113","$167,202",,"$899,126","$2,285,591",,,"$6,253","$313,298",,"$85,602",,"$212,884","$23,924,495","$22,340,179",,"$2,139,722","$2,435,723","$392,121","$143,628",,,"$1,553,873","$8,127,017",,"$27,403,464",,,"$77,880","$98,309","$118,466","$293,467","$9,645,726","$3,870,206","$1,596,735","$8,086","$2,839,609",,,"$674,118","$243,435","$2,575,906","$1,776,937",,"$190,226","$4,504,400","$103,749","$974,372","$131,909","$164,404","$758,581","$9,481,558","$14,463,540","$2,385,899","$4,429,850","$2,789,220","$263,046",,"$1,259,656","$185,650",,"$26,014,490","$294,384","$428,095",
1230204,,A Turtle's Tale: Sammy's Adventures (2010),"$1,353,290",,,,,,"$89,602","$680,130",,,,,,,,,,,,,"$179,584",,,,,,,,,"$510,763",,,,,,,,,,,,,,"$742,057","$4,909,783",,,,,,,"$402,636",,,,,,"$2,459,709",,"$143,348",,,,"$8,215,094",,,,,"$213,972",,,,,,"$76,272","$612,946",
1278379,,Jack Goes Boating (2010),,,,"$7,077",,,,,,,,,,,,,,"$541,992",,,,,,,,,"$77,578",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$163,727",,,,,,,,,"$10,832",,,
