imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Central America,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0067454,,Multiple Maniacs (1970),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,367",,,
0775440,,Cell (2016),"$75,434",,,,,"$45,362",,,,,,"$189,981","$83,091",,,,,,,,,,,,,,,,,,,,"$324,295",,,,,,,,,"$161,629",,,,,,,,,,,,"$32,933",,,"$133,326",,,,,"$32,868","$27,263",,,,,,,"$34,264","$115,734","$20,208","$46,573",$51,,,
5463378,,A Dragon Arrives! (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,241",,,,,,,,,,,,,,,,,,,,
4441280,,The Corpse of Anna Fritz (2015),"$14,489",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230700,,Complete Unknown (2016),,,,,,,,,,,,,,,,,,,,,,,,,,"$4,873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,864",,,,,,,,,,,,,,,,"$3,975",,,,
0498351,,The Hero of Color City (2014),,,,,,,,,,,,,,,,,"$32,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$83,147",,,,
3698118,,Gangnam 1970 (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,"$153,198",,,,,,,,,,,,,,"$12,398",,,,,,,,,,,"$68,115",,,,,,,"$45,686",,,,"$15,863,084",,,,,,,"$30,931",,,,,,,
4061010,,Blackway (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$226,650",,,,,,,,,"$70,134",,,,,,,,,,,,"$26,628",,,"$4,675",,,,,,,,,,,,,,,,"$71,325",,,,
4621872,,Like Crazy (2016),"$52,470",,,,,,"$18,958","$36,428",,,,,"$44,555",,,,"$107,362",,,,,,"$38,464","$877,947",,"$78,873",,,,,,,"$6,788,270",,,,,,,,,,"$194,661",,,,,,,,,,,"$20,882",,"$16,503",,,,"$2,513",,,"$54,791","$655,602",,,"$52,642",,,,,,,,"$5,737",,
3092552,,Life Feels Good (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,436,077",,,,,,,,,,,"$2,454",,,,,,,,,,,,,
