imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
5029608,,Frantz (2016),"$156,323","$289,827",,,,,,$346,,,,"$51,235",,,,,,,,,,,"$39,729","$4,367,401",,"$35,350",,,$829,,,,"$452,956",,,,,,,"$7,890",,,,"$111,299","$47,014","$4,596",,,,,,,,"$20,468",,,,"$103,809",,,,"$3,537",,"$125,674","$640,753",,,,,,,"$29,258",,,"$90,195","$18,982",,
4993964,,Full Speed (2016),,,,,,"$33,313",,,,,,"$26,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$103,590",,,,,,,,,,,,,,,,"$359,657",,,,,,,,,,,,,,,,,,,,
5771640,,A Wedding (2016),"$23,985",,,,,,,,,,,"$35,156",,,,,,,,,,,,"$575,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4840554,,The Ideal (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$202,894",,,,,,,,,,,,,,,,,,,,
4229298,,The Unspoken (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$84,134",,,,,,,,,,,,,,,,,,,,
4857264,,The Invisible Guest (2016),"$15,867",,,,,,,,,,"$25,919,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$268,219",,,,,,"$655,018",,,,,,,,,,,,"$21,619",,
4217392,,Kung Fu Yoga (2017),,,,,,,,,,,"$254,531,595",,,,,,,"$362,657",,,,,,,,,,,,,,,,,,,,,,,,,,,"$82,783",,,,,,,,,,,,,"$745,978",,,,,,"$78,123",,,,,,"$228,356",,,,"$1,712,264","$12,133",,,
4909752,,Rangoon (2017),,"$4,089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,860",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4480494,,The Night My Mother Killed My Father (2016),"$14,101",,,,,,,,,,,"$16,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5251328,,One Piece Film: Gold (2016),,"$59,493",,,,,,,,,"$15,584,811",,,,,,,,,,,,,"$130,301",,,,,,,,,"$385,312",,"$47,824,455",,,,,,,,,,"$15,930",,,,,,,,,,,,,,,,,,,"$1,418,529","$118,479",,,,,"$246,170",,,,,,,,
