imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
3398052,,Daawat-e-Ishq (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3018070,,Stonewall (2015),,,$932,,,,,,,,,,,,,,,,,,,,"$41,469",,,,,,,,,"$62,048",,,,,,,,,,,,,,,,,,,,,$546,,,,,,,,,,,,,,,,,,
3594826,,Monk Comes Down the Mountain (2015),,,,,,,,,,,"$64,260,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4466544,,Fatima (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$147,688",,,,,,,,,,"$14,435",,,,,,,,,,,,,
0114429,,Shirli-myrli (1995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,483",,,,,,,,,,,,,,,,,,,,
2321163,,ABCD (Any Body Can Dance) (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,370,544",,,,,,,,,,,,"$18,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3008014,,The Face Reader (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,043,308",,,,,,,,,,,,,,
1663655,,Martyrs (2015),,,,,,,"$181,389",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$76,860",,,,,,"$80,673",,,,,,"$13,215",,,,,,,,,,,,,,
3254796,,Big Stone Gap (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,503",,,,,,,,,,,,,,,
5275828,,Lo and Behold: Reveries of the Connected World (2016),"$21,051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,948",,,,,,,,"$1,533",,,"$3,934",,,,,,,,,,,,,,,,,"$131,418",,,
3882082,,The Boy (2016),,"$213,677","$508,181","$132,937","$475,157",,"$1,092,039",,,"$507,367","$2,545,897","$657,553",,"$56,566",,"$35,819,556","$244,391",,,,"$96,479","$2,775,297","$2,425,937",,"$539,156",,"$172,979","$13,022",,,,"$2,242,605",,$408,,"$152,427","$52,566","$1,192,969","$4,953,162","$386,719","$14,109",,"$506,725","$18,202","$718,811","$844,365","$469,234","$215,006",,,"$1,031,891",,"$570,086","$80,877","$20,748","$27,365","$377,143",,,,,,"$326,813","$657,876","$108,770","$17,493","$410,369","$3,405,286","$89,812",,
4552524,,Jeruzalem (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,512",,,,,,,"$18,000",,,,,,,,,,"$10,978","$23,247",,,,,,,
3907156,,Horse Money (2014),,,,,,,,,,,,,,,,"$6,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,747",,,,,,,,,,,,,
0416214,,"Semen, a Love Sample (2005)",,,,,,,,"$15,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,471,532",,,,,"$4,658",,,,,,,,
3864024,,Lazer Team (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$220,112",,,
3231054,,Risen (2016),"$139,345","$558,423",,,"$2,379","$42,420","$818,093",,,"$28,922",,"$264,420",,,,"$36,880,033","$107,782",,,"$5,659",,"$813,074","$187,975","$2,749",,,,,,,,"$230,084","$175,985","$5,708",,"$183,250",,,"$828,567","$132,628","$159,855","$33,737","$335,667",,"$213,202","$43,051","$35,403","$76,248",,"$80,071",,,"$212,641","$72,316",,"$163,993","$1,056,075","$878,823",,,,,,"$42,831",,"$112,875",,"$101,241","$22,981","$36,526",
3882074,,The Eagle Huntress (2016),,"$477,773",$913,,,,,,,,,,,,,"$3,169,351",,,,,,,,,"$31,010",,,,,,,"$81,211",,,,,,,,"$35,147","$128,208",,,,,,,$771,,,,,,,"$3,008",,,,,,,,,,"$1,372",,,"$475,970",,,
2262345,,Long Way North (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,199",,,,,,,,,,"$24,832",,,,,,,,,,,,,,,,,,,,
3422078,,April and the Extraordinary World (2015),,,,,"$18,769",,,,,,,,,,,,,,,,,"$180,872",$28,,,,,,,,,,,,,,,,,,,,,,,,,$722,,,,,,,,,,,,,,,,,,,,,,,
3702652,,The Other Side of the Door (2016),,,,"$70,586",,,,,,,,,,,,,"$251,523",,,,,"$1,851,016",,,,,,,,,,"$136,916",,,,"$41,863",,"$365,776","$1,047,100",,"$3,550",,,"$7,016","$133,341","$228,877","$505,788",,"$59,260","$72,073","$871,103",,"$243,986",,,"$55,343",,"$585,159",,,,,"$424,083",,"$125,662","$38,662","$195,343","$868,073",,"$63,017",
