imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies
0337930,,Nicotina (2003),"$47,245",,,"$32,568",,,,,,,,,"$5,508",,,,,,,,,,,,,,,,"$32,468","$184,237",,,,,,,,"$179,080",,,,,,,,,,,"$3,959,898",,,,,,,,,,,,,,,,,,,,,,,,"$192,139",,,,,,,,,,,
0338309,,Evil (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$188,123",,,,,,,,,,,,,,,,,,,,,,,,,,,"$280,020",,,,,"$15,485",,,,,,,,,,,,,,,,"$29,087",,,,,,,,
0338763,,Battle Royale II (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$429,132",,,,,,,,"$14,416,667",,,,,,,,,,,,,,,,,,,,,,,,,"$31,150",,,,,,,,,,,"$3,003","$22,635",,,,,,,
0339135,,In Hell (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$218,037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0339291,,A Series of Unfortunate Events (2004),"$456,324",,"$7,218,652","$631,258",,,"$1,388,995",,"$1,170,678","$13,831",,"$274,482","$390,505",,"$336,220","$44,161",,"$49,268","$52,555","$77,698","$517,991",,,,"$65,233","$20,686","$27,113","$435,488","$5,011,341","$4,568,395","$705,115","$1,216,888","$190,532","$165,592","$57,795","$203,987",,"$2,863,638",,"$8,237,653",,"$11,856",,"$43,073","$75,355",,"$12,256","$465,613","$2,828,958",,"$577,887","$1,194,979","$941,631",,"$705,139",,"$179,832","$320,115","$847,007","$471,150",,,"$54,515","$3,048,638","$3,030,678",,"$11,835","$671,443","$15,779","$64,795","$482,221","$5,174,315","$4,674,098","$896,518","$632,993","$1,374,838","$403,089","$769,190","$405,198","$270,543","$25,422,594",,"$363,481",
0342689,,Levottomat 3 - kun mikään ei riitä (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,277,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,864",,,,,,,,
0344510,,A Very Long Engagement (2004),"$59,003",,"$1,125,972","$452,009",,,"$1,991,281",,,"$36,509",,"$6,053","$27,278",,,"$8,592",,,"$16,651",,"$415,255",,,,,,,"$321,753","$31,380,114","$4,985,079","$1,152,050","$230,775","$89,655","$43,022",,,,"$655,951",,"$898,672",,,,"$3,837","$28,496",,"$4,630",,"$968,894",,,"$736,801","$296,839",,"$443,100",,,"$93,798","$205,739","$80,838",,,,,"$283,226",,"$29,919","$48,438","$9,429","$10,944",,"$236,236","$2,161,087","$767,734","$1,435,102","$194,314",,"$2,173,341",,,"$2,952,356",,,
0345549,,Last Life in the Universe (2003),,,,,,,,,,,,,,,,,,,,,,"$32,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,081",,,,,,,,,,,,
0347048,,Head-On (2004),"$149,835",,,"$226,320",,,,,,,,,"$10,561",,,,,,"$2,290",,,"$435,395",,,,,,,"$564,183","$5,351,766","$101,159",,,,,,,"$1,396,075",,,,,,,,,,,"$37,879",,,"$277,533",,,"$181,896",,,,,"$7,015",,,,,,,,,,,,,"$658,569",,,,,"$1,198,595",,,"$177,106",,"$34,940",
0347246,,Ghost in the Shell 2: Innocence (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$59,813","$770,086",,,,,,,,,"$38,117",,"$7,850,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,695",,,,,,,,
0347304,,Kal Ho Naa Ho (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,070",,,,,"$7,130,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,612,913",,,
