Movie Name,Mexico,United Arab Emirates,Germany,Türkiye,Spain,Malaysia,Netherlands,Norway,Denmark,Austria,Belgium,Lithuania,Romania,Hungary,United Kingdom,Domestic,France,Italy,Greece,Poland,Portugal,Ukraine,Sweden,Finland,South Africa,Switzerland,Bulgaria,Croatia,Lebanon,Estonia,Latvia,Serbia and Montenegro,Nigeria,East Africa,Iceland,Russia/CIS,Taiwan,Philippines,Thailand,Brazil,Argentina,Venezuela,Peru,Colombia,Chile,Uruguay,Ecuador,Bolivia,China,Kuwait,Qatar,Egypt,Bahrain,Oman,Ethiopia,Ghana,Curaçao,Central America,Jamaica,Lesser Antilles,Aruba,Singapore,New Zealand,Israel,South Africa/Nigeria,Australia,South Korea,Puerto Rico,Middle East Other,Czech Republic/Slovakia,Czech Republic,Slovakia,Slovenia,Cyprus,Central America+,Japan,Hong Kong,Indonesia,Vietnam,India,Dominican Republic,Greece and Cyprus,S/E/W Africa,Jordan,Laos,Switzerland (German),Switzerland (French),Switzerland (Italian),Pakistan,E/W Africa,Trinidad & Tobago
Management (2008),"$295,721","$121,618",,,,,"$55,660",,,,"$30,312",,,,,"$934,658",,,,,"$34,973",,,,"$71,398",,,"$52,170","$73,829",,,,,,"$17,631",,"$50,731","$59,097",,"$483,303",,,"$109,595",,,,"$44,043","$10,698",,,,"$40,535",,,,,,,,,,"$29,342",,,,,"$51,334",,,,,,,,,,,,,,,,,,,,,,,,
Terminator Salvation (2009),"$7,475,980","$1,585,850","$13,523,845","$1,608,069","$10,084,509","$3,886,687","$2,116,160","$1,386,984","$1,769,520","$1,871,027","$1,568,729","$174,455","$309,682","$949,696","$23,688,598",,"$13,403,920","$4,952,079","$1,602,997","$2,360,121","$822,630","$1,321,833","$2,492,665","$859,038","$851,398",,"$278,622","$220,648","$88,551","$149,382","$166,252","$91,851","$137,042","$75,566","$128,371","$14,534,839","$3,392,424","$1,977,183","$2,878,708","$6,300,439","$1,978,108","$2,679,579","$996,998","$1,883,524","$948,216","$87,991","$426,747","$229,665",,"$302,240","$133,977","$26,141","$151,093","$68,552","$9,130","$24,614","$33,167","$1,024,758","$79,706",,"$32,716","$2,058,365","$1,647,499","$564,572",,"$11,960,230","$23,353,191",,,,"$795,882",,"$144,205",,,"$33,869,677","$2,331,400","$1,995,050","$276,201",,"$130,670",,,"$41,046",,,,,,,"$196,561"
Night at the Museum: Battle of the Smithsonian (2009),"$10,088,016","$1,048,263","$19,146,827","$736,071","$8,925,816","$2,821,294","$2,317,341","$929,216",,"$2,357,145","$2,449,746","$104,857","$181,809","$593,303","$32,825,190",,"$13,393,941","$9,988,389","$777,243","$1,630,285","$1,164,069","$786,266","$1,981,611","$705,669","$1,710,703",,"$144,281","$159,298","$74,343","$84,423","$117,244","$61,532","$21,389","$73,834","$92,573","$11,012,851","$1,653,058","$1,786,437","$1,677,754","$11,516,835","$2,537,926","$4,372,866","$1,234,546","$2,091,789","$1,381,208","$160,290","$764,477","$150,284",,"$444,192","$171,848","$248,342","$148,158","$51,051","$8,288","$13,090",,"$307,697",,,,"$3,005,252","$1,506,291","$365,475",,"$14,037,398","$9,819,667",,,,"$817,182",,"$131,517",,,"$21,496,544","$3,647,737","$1,882,185",,"$800,459",,,,,,,,,,,
The Brothers Bloom (2008),"$50,524","$18,927","$30,644",,,"$23,258","$90,921",,,,"$44,163",,"$41,188","$13,480",,,"$260,717",,"$54,372",,"$198,546",,"$10,095","$12,635","$60,080",,"$33,768",,"$7,841",,,"$15,294",,,,,"$68,967",,"$10,246","$178,400","$151,151","$44,158",,"$21,266","$35,246","$6,931",,,,,,,,,,,,,,,,"$24,777","$2,193",,,,"$387,924",,,,"$35,210",,,,,,"$66,080",,,,,,,,,,,,,,
Vincere (2009),"$99,037",,,,"$239,002",,"$58,820",,,,"$82,225",,,,,,"$942,159","$2,991,766","$40,947",,"$36,442",,,,,,,,"$3,480",,,,,,,,,,,"$182,735","$343,189",,,,"$34,106","$14,457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,954",,,,,,,,,,,,,,
Shall We Kiss? (2007),"$71,385",,"$270,495",,,,"$7,228",,,"$58,404","$37,099",,,,,,"$1,673,943","$140,508",,,"$2,405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,938","$128,533",,,,,,,,,,,,,,,,,,,,,,,,
I Do: How to Get Married and Stay Single (2006),"$445,127",,,,,,,,,,"$977,003",,,"$5,228","$127,615",,"$25,589,640",,,"$60,129",,"$140,998",,,,"$639,066",,,"$15,088",,,,,,,"$779,100",,,,"$60,547","$71,375","$121,080","$122,858",,,"$22,248",,,,,,,,,,,,,,,,,"$202,683",,,"$578,106","$62,693",,,,,,"$36,785",,,,,,,,,,,,,,,,,,
Catacombs (2007),"$1,069,241",,,,,"$31,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$381,500",$829,"$54,396",,,,"$216,775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Soloist (2009),"$419,775","$43,552",,,"$88,182",,,"$40,735",,,,,,,"$1,679,198",,"$150,153","$511,406","$158,575","$71,656","$399,360",,"$6,339",,,,,,"$6,528",,,,,,,,,,,"$255,736","$138,291","$48,167","$35,363","$68,737",,"$9,198","$7,658",,,,,,,,,,,,,,,,"$52,376",,,"$712,784","$741,959",,,,,,,,,,,,,,,,,,,,,,,,
The Last House on the Left (2009),"$445,028","$248,010","$1,160,672","$392,838","$2,886,802","$213,794","$234,129",,"$70,976","$237,016","$403,733","$31,250","$37,001","$49,429","$1,857,946","$32,752,215","$688,984",,"$295,310","$319,263","$150,292",,,"$29,886","$124,823",,,"$18,588","$21,797","$23,287",,,,,"$46,390","$726,624","$65,213",,,"$706,170",,"$558,010","$205,341","$151,276",,,"$106,472","$24,112",,,,,,,,,,"$34,072",,,,"$91,841",,,,,"$505,282",,,,"$32,304",,"$49,047",,,,,,,,,,,,,,,,,,
Drag Me to Hell (2009),"$3,131,329","$623,802","$2,743,384","$339,904","$3,656,061","$843,494","$716,723","$521,428",,"$519,481","$637,194","$68,993","$110,586","$104,113","$10,503,062","$42,100,625","$4,304,729","$1,635,082","$140,867","$122,858","$108,226",,"$669,938","$149,233","$309,075",,"$40,191",,"$38,489","$40,562","$36,362","$11,470",,,"$70,994","$2,556,330","$394,988","$1,037,189","$648,342","$1,790,906","$450,226","$1,119,554","$392,502","$388,081","$365,628","$7,972","$195,624","$18,328",,,,,,,,,,"$92,739",,,,"$1,019,779","$305,729",,,"$2,197,202","$40,042",,,,"$275,117","$19,753","$64,856",,,"$1,514,604","$323,310",,,,,,,,,,,,,,
Up (2009),"$14,192,640","$1,024,136","$29,415,322","$1,764,301","$37,052,520","$1,240,276","$8,551,982","$4,587,163","$6,892,692","$2,919,072","$7,088,865","$438,822","$239,644","$1,349,234","$55,413,275","$293,004,164","$39,445,454","$22,494,067","$2,360,877","$5,747,926","$3,912,239","$614,009","$5,750,227","$2,773,122","$1,951,879","$1,056,614","$240,604","$299,920","$162,986","$259,652","$257,397","$74,441","$34,845","$46,939","$224,274","$12,073,559","$2,571,288","$2,229,829","$1,499,887","$10,528,510","$3,428,922","$7,249,646","$1,476,829","$5,111,251","$3,645,572","$232,910","$1,111,755","$228,957",,,,"$134,983",,,,"$11,240",,"$300,479",,,,"$2,864,063","$2,948,673","$3,599,407",,"$25,296,200","$6,855,685",,,,"$11,092","$522,596","$369,387",,,"$51,920,149","$4,325,709","$1,479,223",,,,,,,,,,,,,
Easy Virtue (2008),"$87,402","$55,065","$431,121","$96,383","$1,870,010",,,"$24,402",,"$71,769","$123,462","$19,128","$107,804",,"$1,868,066",,"$2,783,479","$3,590,951","$220,142","$72,604","$70,749","$92,346",,"$10,482","$56,776",,,,"$4,743","$29,024","$44,156",,,,,"$1,043,785",,,,"$201,042","$106,464",,,,,"$31,895",,,,,,,,,,,,,,,,,"$674,797",,,"$1,996,738",,,,,,,,,,,,,,,,,,,,,,,,,
Dance Flick (2009),"$559,461","$193,419","$872,640",,"$13,935","$121,620","$408,093",,"$7,960",,"$437,491",,,,"$1,785,952",,"$35,540",,,,,,"$10,409",,"$81,286",,,,"$29,426",,,,,,,"$656,790",,,,,,,,,,,,,,,,"$8,105",,,,,,,,,,"$109,896","$84,578",,,"$360,384",,,,,,,,,,,,,,,,,,,,,,,,,
Personal Effects (2009),"$106,897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,277",,,"$160,670",,,"$22,362","$31,019",,,,"$1,388",,,,,,,,,,,,,,"$20,719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hangover (2009),"$7,191,582","$930,702","$20,855,235","$584,923","$9,374,796",,"$5,279,285","$4,015,714","$2,546,501","$4,731,040","$2,064,610","$293,731","$487,439","$1,784,961","$36,033,624","$277,339,746","$17,329,727","$5,950,032","$2,682,479","$2,994,447","$1,539,957","$879,581","$3,480,119","$1,340,217","$2,001,996","$2,744,287","$216,753","$392,731","$395,425","$205,653","$243,674","$152,549","$77,103","$57,872","$409,414","$5,220,629","$512,666","$231,508","$126,912","$8,911,937","$855,892","$2,605,296","$423,433","$926,522","$586,310","$212,319","$207,260","$85,981",,,,"$182,942",,,,"$22,365",,"$203,027",,,,"$935,655","$2,329,884","$1,737,386",,"$17,934,378",,,,,"$6,720,194",,"$312,751",,,"$464,839","$720,509","$249,579",,,,,,,,,,,,,
Killshot (2008),"$128,081","$152,432","$63,357",,,"$417,818",,,,,,,,,,,,"$75,474","$134,536",,"$17,450",,,,"$90,124",,,,"$37,317",,,,,,"$13,478","$152,166","$4,914",,$838,"$119,569","$59,745","$252,221","$69,634","$4,404",,"$7,253",,,,"$119,309","$32,634","$8,325","$38,457","$16,159",,,,,,,,"$16,763",,"$102,386",,,,,,,,,,,,,"$808,160",,,,,,,,,,,,,,
Antichrist (2009),"$82,804",,"$658,605","$227,720","$770,255",,,"$97,008","$1,065,978","$123,454","$174,438","$20,072","$10,154",,"$582,998",,"$1,100,904","$707,717",,"$415,590","$72,842",,"$133,080","$63,686","$8,201",,,,,,"$34,221","$13,224",,,"$7,942","$356,980","$23,646",,,"$198,098",,,,,,,,,,,,,,,,,,,,,,,,,,"$11,263","$22,781",,,,"$26,080",,,,,,,,,,,,,,,,,,,,
New in Town (2009),"$1,036,635","$141,006","$377,096","$259,366","$1,088,964","$61,614","$695,798",,,"$15,817","$118,701","$48,515","$173,113","$137,596","$1,497,762",,,,,"$391,698","$228,094","$195,485",,,"$141,072",,,,"$17,993","$17,239","$35,208",,,,"$24,833","$2,630,504","$89,352","$57,755","$71,327","$522,314","$262,520",,"$162,008",,"$32,045","$20,105","$3,070","$29,838",,,,,,,,,,,,,,"$126,561",,,,"$831,781","$392,361",,,,"$171,367","$50,971",,,,,"$119,050",,,,,,,,,,,,,,
Land of the Lost (2009),"$2,888,757","$565,702","$103,594",,"$513,239","$579,682",,"$23,648",,,,,,,"$2,800,650",,,"$62,693",,,,,,"$25,959",,,,,"$59,760",,,,,,,"$3,243,718",,"$202,982","$39,236",,,"$862,222","$485,830","$233,696",,"$12,072","$183,612","$20,061",,,,"$35,595",,,,,,"$58,255",,,,"$679,794","$256,891",,,"$3,108,970",,,,,,,,,,"$293,076","$397,931","$122,272",,,,,,,,,,,,,
Imagine That (2009),"$1,048,584","$332,228","$268,197",,"$35,573","$149,945","$25,586",,"$10,519",,"$52,502",,,,"$484,436",,,"$86,182",,,,,,,"$586,296",,,,"$113,513",,,,"$15,943",,,,,,,,,"$1,230,179","$479,781",,,,"$183,970","$18,444",,,,"$64,548",,,,,,,,,,"$332,035",,,,"$241,861",,,,,,,,,,,,,,,,,,,,,,,,,
The Taking of Pelham 123 (2009),"$3,773,783","$699,349","$3,973,440","$718,797","$8,867,740","$506,088","$1,749,121","$586,244","$465,890","$556,600","$1,579,177","$70,389","$225,784","$343,490","$7,791,823",,"$6,121,639","$3,478,075","$510,166","$789,844","$1,039,391","$174,623","$743,125","$220,685","$864,359","$264,966","$149,770","$96,528","$77,481","$34,538","$52,074","$44,496","$112,781","$89,406","$40,609","$1,509,194","$792,231","$520,319","$347,931","$4,246,493","$972,372","$2,100,185","$389,503","$733,285","$401,304","$75,354","$163,788","$65,851",,"$291,953","$127,295","$110,031","$220,324","$43,124","$15,833","$14,370","$85,204","$532,819","$90,831",,"$57,391","$609,252","$445,131","$710,534",,"$4,775,382","$1,840,625",,,,"$119,136","$49,531","$54,170",,,"$8,261,565","$585,055","$505,763","$116,036","$380,908","$169,617",,,"$81,062",,,,,,,"$137,679"
The Stoning of Soraya M. (2008),"$61,918",,,"$245,916","$80,447",,,,,,,,,,,,,,,,,,"$80,854",,"$5,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,140",,,,,,,,,,,,,,,,,,,,,,,,,
The Proposal (2009),"$6,665,637","$1,009,865","$18,505,527","$747,267","$5,959,363","$700,306","$4,433,562","$1,428,945","$1,604,504","$3,362,562","$2,959,665","$162,068","$610,169","$1,462,262","$19,239,235","$163,958,031","$6,890,722","$6,416,839","$1,196,317","$2,665,046","$1,726,132","$927,675","$2,267,209","$494,545","$2,631,303","$1,462,989","$184,526","$203,171","$451,263","$219,258","$219,141","$111,960","$160,573","$98,735","$229,159","$7,583,672","$1,400,215","$1,058,046","$770,641","$7,438,656","$885,702","$2,636,592","$633,125","$839,986","$293,813","$156,223","$311,335","$35,307",,,,"$295,599",,,,"$33,280",,"$144,995",,,,"$1,393,207","$1,709,483","$1,241,817",,"$13,971,668","$2,045,349",,,,"$418,690","$276,005","$369,835",,,"$2,914,626","$1,617,635","$890,745",,,,,,,,,,,,,
Year One (2009),"$1,097,413",,"$582,095",,"$4,173,713",,,,,,"$33,113","$77,300","$94,526",,"$4,781,390",,"$254,106","$29,628",,,,,"$352,033","$250,244","$204,449",,"$35,340",,,"$40,266",,,"$38,704",,"$62,074","$430,351",,"$239,619",,,,,"$248,720",,,,"$79,745","$47,187",,,,,,,"$4,357","$10,116","$8,947",,,,"$39,354","$215,290","$1,084,720",,,"$4,471,739",,,,,,,,,,,,,,,"$34,082",,,,,,,,,,
Garfield's Pet Force (2009),"$362,765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,451,404","$877,854","$471,031","$644,106",,"$39,805","$139,197","$411,671","$56,251",,,,,,,,,,,,,,,,,,,"$340,817",,,,,,,,,,"$484,027",,,,,,,,,,,,,,
The Hurt Locker (2008),"$1,114,807","$197,946","$464,533","$148,821","$3,930,210",,"$85,813","$108,136","$81,188",,"$315,133","$21,406",,"$132,025","$1,302,388","$17,017,811","$1,184,002","$234,231","$367,644",,"$231,335",,"$120,178","$20,404","$316,525","$43,385",,"$18,260","$25,490","$14,474","$10,814","$5,438",,,"$27,130","$45,863","$375,272","$55,730","$97,311","$820,754","$791,443","$198,231","$362,288","$272,651","$348,664","$88,196","$60,008","$72,208",,,,,,,,,,,,,,"$267,667","$440,705",,,"$5,226,567","$1,171,403",,,,"$75,577",,"$39,408",,,"$7,794,184","$617,884",,,,,,,,,,,,,,
The Limits of Control (2009),"$6,279",,"$812,258",,"$95,120",,,,,"$84,749","$6,357",,,,,,"$317,532",,,,"$40,002",,,"$5,988",,,,,,,"$6,111",,,,,"$89,847",,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,788",,,"$28,767","$20,288",,,,"$15,501",,"$9,925",,,,"$6,934",,,,,,,,,,,,,,
Transformers: Revenge of the Fallen (2009),"$18,895,683","$2,285,332","$20,111,156","$1,940,592","$8,698,257","$7,856,544","$3,730,164","$2,754,567","$3,048,737","$2,856,948","$2,966,917","$220,242","$335,498","$1,095,400","$44,383,558",,"$19,861,079","$11,685,751","$1,619,998","$2,392,849","$1,459,786","$1,485,242","$3,474,369","$928,121","$2,430,504","$1,956,597","$264,041","$257,475","$266,938","$125,346","$136,243","$82,148","$62,048","$118,566","$213,912","$18,170,854","$7,537,453","$7,384,179","$6,034,198","$9,560,181","$2,491,004","$4,030,620","$2,110,857","$2,939,275","$2,047,357","$52,535","$1,068,325","$276,081","$65,837,290",,,"$286,975",,,,"$2,572",,"$506,977",,,,"$5,880,317","$5,463,402","$872,383","$1,005,605","$33,554,033","$43,392,124",,,,"$1,003,509","$158,903","$100,887",,"$1,489,571","$22,707,567","$6,202,442","$4,469,608",,"$2,798,175",,,,,,,,,,,
Whatever Works (2009),"$211,276","$33,786","$1,924,074","$94,650","$5,590,384",,"$292,746","$35,426","$63,523","$643,115","$395,542","$18,919","$18,745",,"$309,345",,"$6,863,863","$7,399,626","$927,104","$1,824,986","$608,676",,"$242,374","$93,265","$75,369","$122,901",,,"$12,169",,"$28,427",,,,"$27,641","$40,493","$14,719",,,"$1,591,880","$470,086",,,"$72,064",,"$128,240",,,,,,,,,,,,,,,,"$48,358","$19,291",,,"$336,114",,,,,"$53,671",,,,,,"$80,980",,,,,,,,,,,,,,
Ghosts of Girlfriends Past (2009),"$2,750,044","$425,658","$6,957,884","$726,400","$2,619,192","$234,683","$966,774","$82,752",,"$1,682,181","$606,605","$67,524","$231,562","$364,386","$6,859,122",,"$1,298,000","$2,823,783","$458,220","$695,595","$745,703","$397,254","$117,135","$65,238","$1,008,293",,"$97,489","$97,201","$97,903","$59,644","$58,528","$59,083","$95,288","$9,132","$52,314","$2,462,447","$177,455","$124,516",,"$2,012,187","$459,308","$968,933","$307,630",,"$85,301","$39,174","$115,062","$24,488",,,,,,,,"$23,155",,"$103,118",,,,"$888,887","$348,771","$649,335",,"$5,227,478",,,,,"$139,617",,"$149,357",,,,,,,,,,,,,,,,,,
Public Enemies (2009),"$5,318,012","$601,395","$6,906,249","$812,371","$10,686,582","$374,338","$2,459,994","$2,099,594","$1,006,906","$1,185,005","$2,480,650","$89,847","$284,541","$314,754","$11,334,699",,"$12,925,216","$8,491,750","$1,627,124","$1,574,140","$1,315,128","$689,362","$2,489,353","$1,103,222","$459,963","$1,108,599","$219,550","$158,667","$133,167","$68,221","$123,883","$81,270","$20,383","$52,493","$141,273","$5,670,599","$576,659","$276,292","$334,018","$2,694,614","$1,018,037","$875,234","$305,939","$506,386","$497,563","$42,830","$77,495","$20,406",,,,"$133,686",,,,,,"$83,141",,,,"$561,046","$821,444","$393,145",,"$7,484,127","$2,752,181",,,,"$422,157",,"$119,850",,,"$7,842,138","$947,527","$735,019",,"$189,393",,,,,,,,,,,
Ice Age: Dawn of the Dinosaurs (2009),"$39,389,248","$1,474,586","$82,199,367","$7,650,309","$32,142,485","$2,425,992","$13,453,093","$12,597,388","$7,045,770","$13,419,250","$9,755,324","$1,396,270","$2,318,561","$4,101,370","$56,859,040",,"$69,240,468","$43,860,019","$4,705,076","$13,316,123","$5,655,751","$2,837,355","$7,908,996","$4,971,898","$3,492,517","$13,999,976","$1,635,549","$726,552","$607,651","$1,178,779","$820,586","$484,944","$47,524","$130,628","$277,222","$44,572,301","$2,059,262","$2,391,452","$1,117,372","$45,373,371","$8,069,767","$11,644,527","$4,812,886","$8,337,569","$7,125,445","$1,001,818","$3,853,760","$853,027",,"$494,523",,"$248,319","$230,270","$77,837","$15,239","$13,817",,"$646,009",,,,"$2,730,040","$4,024,380","$3,517,576",,"$24,725,499","$5,166,601",,,,"$5,322,866","$2,352,170","$1,268,299",,,"$1,293,196","$4,191,440","$2,113,727",,,,,,,,,,,,,
My Sister's Keeper (2009),"$3,698,528","$127,492","$3,490,611","$481,324","$914,824",,"$1,482,010","$42,871",,"$762,348","$202,332","$118,219","$28,335",,"$10,406,236",,"$766,288","$254,924","$48,647","$46,687","$549,180",,"$170,761",,"$830,357",,,"$36,039","$87,860",,,,"$15,188","$24,731","$92,493",,"$264,741","$49,667","$19,126","$1,175,619","$190,710",,"$232,461","$123,991","$96,815","$2,342","$124,234","$30,519",,,,,,,,"$2,848",,"$40,213",,,,"$543,789","$931,721","$816,316",,"$8,034,157","$714,715",,,,,,,,,"$8,241,290","$176,650",,,,,,,,,,,,,,
500 Days of Summer (2009),"$639,921",,"$994,103","$315,248","$1,541,806","$50,666","$203,431","$73,802","$161,183","$175,035","$243,919",,,,"$7,596,857","$32,391,374","$1,141,406","$411,731","$29,415",,,,"$124,120","$247,636","$63,153",,,"$13,410",,"$26,857",,,,,,"$551,690","$277,514","$398,212",,"$1,265,032","$358,052","$97,037",,,"$132,235","$32,652",,,,,,,,,,,,,,,,"$609,884","$626,739","$208,131",,"$4,346,555","$2,114,648",,,,,,,,,,"$626,507",,,,,,,,,,,,,,
Brüno (2009),"$162,105",,"$7,209,557",,"$2,542,344",,"$2,940,743","$1,905,119","$1,783,494","$1,670,039","$2,290,483","$149,662","$113,118","$177,325","$25,793,264",,"$1,988,301","$1,755,582","$507,039","$928,595","$616,605",,"$2,340,591","$1,411,967","$410,927","$2,357,912","$120,600","$447,713",,"$232,777","$86,555","$64,691","$2,311",,"$184,024","$1,152,068","$10,908","$65,108","$66,223","$1,170,855",,,"$11,662",,,,,,,,,,,,,,,,,,,"$313,381","$1,593,547","$892,830",,"$11,651,106",,,,,"$410,897","$68,373","$381,758",,,,"$218,324",,,,"$23,721",,,,,,,,,,
Franklyn (2008),"$234,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,807",,,,,,,,,,,,,,,,,,,,,,,,,
Harry Potter and the Half-Blood Prince (2009),"$21,185,512","$1,523,886","$64,709,316","$3,648,984","$20,813,480","$2,333,468","$16,478,586","$7,933,173","$10,687,228","$6,393,098","$9,304,830","$320,186","$444,531","$2,813,144","$84,160,267","$302,334,374","$54,158,946","$26,965,672","$3,296,589","$6,354,956","$2,835,080","$1,790,759","$10,475,331","$4,340,470","$1,766,169","$6,126,878","$343,007","$609,514","$259,850","$216,589","$249,048","$205,767","$80,408","$154,854","$328,467","$18,701,904","$3,106,984","$4,014,548","$4,154,286","$20,240,271","$4,468,542","$6,610,040","$1,990,156","$1,841,168","$3,490,188","$294,755","$1,192,282","$303,051",,,,"$371,186",,,,"$30,610",,"$407,820",,,,"$3,474,126","$4,261,353","$2,147,750",,"$34,954,467","$15,627,084",,,,"$4,206,138","$1,119,304","$351,344",,,"$83,776,293","$5,873,659","$3,749,876","$21,661","$4,480,215",,,,,,,,,,,
Open Water 2: Adrift (2006),"$1,537,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$55,285",,,"$73,964",,"$59,720",,"$166,456",,"$47,044",,,"$3,077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Sassy Girl (2008),"$459,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$610,082",,"$85,553","$41,959",,,,,"$27,164",,,,,,,,,,,,,,,,,,"$98,730",,,,,"$48,914",,,,,,,,,,,,,,,,,,,,,,,,
The Imaginarium of Doctor Parnassus (2009),"$598,407","$93,689","$4,863,307","$223,642","$1,342,851","$189,053","$184,903","$373,871","$751,736","$615,121","$371,963","$44,427","$159,025","$147,425","$5,335,983",,"$4,641,627","$11,119,996","$1,462,695","$1,444,177","$224,228","$142,045","$443,017","$218,328","$68,911",,"$147,794","$36,813","$13,477","$55,208","$51,332","$40,269",,,"$8,331","$3,515,740","$406,992","$45,754","$30,883","$166,138","$242,463","$113,890","$113,367","$65,367","$90,374","$16,198","$35,677","$19,019",,,,,,,,,,,,,,"$400,699","$248,402",,,"$1,924,130","$2,879,175",,,,"$297,847","$41,555",,,,"$6,573,833","$591,525",,,,,,,,,,,,,,
Shiver (2008),"$158,949",,,,"$1,514,915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost Town (2008),,"$72,910","$182,800",,"$111,872",,,,,,,,,,"$10,292,743",,"$15,774","$96,482",,,,,"$8,106",,"$15,654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$345,789","$41,861","$16,001","$2,522,543",,,,,,,,,,,,,,,,,,,,,,,,,
Miracle at St. Anna (2008),,"$26,492",,,,,,,,,,,"$1,465",,,,,"$1,363,754",,,,,,,,,,,"$3,184",,,,,,,,,,,"$9,821",,,,,,,,"$9,821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Ember (2008),,"$209,560",,"$311,929","$1,595,399","$94,433","$16,879",,,,"$159,413",,"$147,983","$48,968","$2,468,399",,"$797,117","$1,618,068","$92,561",,"$52,972",,,,"$80,346",,"$76,369","$25,707","$12,092",,"$6,946","$2,353",,,"$13,745","$643,514","$169,240","$156,214","$386,665",,,,,,,,,,,,,"$7,946",,,,,,,,,,"$243,756",,,,"$317,841",,"$98,126",,,"$24,407",,,,,,"$177,729",,,,,,,,,,,,,,
W. (2008),,"$68,854",,,,,"$82,033","$191,462","$69,430",,"$139,848",,,,"$1,477,703",,"$1,240,109","$28,684","$30,742",,"$270,334",,,"$25,884",,,,,"$7,315",,,,,,"$8,020",,,,,"$48,536","$65,346","$23,499","$5,587",,"$8,808",,,"$48,536",,,,,,,,,,,,,,,,,,"$170,712",,,,,,,,,,,"$14,652",,,,,,,,,,,,,,
The Flight Before Christmas (2008),,"$22,387","$5,357,823","$346,721","$1,364,775",,"$708,440","$84,635","$973,846","$659,154","$648,220","$27,557",,,"$87,853",,"$4,796,060","$95,532",,"$2,052,316","$60,761",,"$186,656","$49,320",,,"$13,885","$129,976","$24,760",,,"$13,131",,,"$32,836","$674,679",,,,,,,,,,,,,,,,"$5,232",,,,,,,,,,,,,,,"$711,732",,,,"$107,033","$95,573","$451,221",,,,,,,,,,,,,,,,,,
JCVD (2008),,"$24,349",,"$9,429","$20,001",,,,,,"$162,037",,"$5,226",,"$1,878",,"$1,517,619",,,,,,"$20,311",,,"$56,272",,,"$2,405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,443",,,,,"$48,550",,,,,,,,,,,,,,,
Punisher: War Zone (2008),,"$372,672",,,,"$530,581",,,,,,,"$35,911",,"$248,238",,,,,,,,,,,,,,,"$5,024",,,,,,,,"$172,270",,,,,,,,,,,,"$259,932","$55,867","$39,332","$47,265","$21,171","$7,693",,"$16,787","$20,000",,,"$5,959","$164,685","$9,199",,,,,,,,,,,,,"$70,473",,,,,"$27,457",,,,,,,,,,
Che: Part Two (2008),,"$24,448","$121,783",,"$1,084,771",,"$9,670","$89,566",,"$40,129","$20,533",,"$7,817",,"$420,445","$748,555","$1,451,724","$891,334","$15,369",,"$111,422",,"$30,302",,"$13,109",,"$11,317",$983,,,,,,,,,,,,"$102,281","$53,193",,,,"$24,244","$3,296","$8,556","$14,884",,,,,,,,,,,,,,,$864,,,"$3,071","$12,899","$118,212",,,,,,,,"$3,203,386",,,,,,,,,,,,,,,
Mesrine: Killer Instinct (2008),,"$21,093","$379,408","$19,942",,,"$87,252",,,"$32,018","$524,809","$14,510",,"$25,738","$785,545","$551,697","$18,137,700","$704,920",,,,"$350,115",,,,"$308,701",,"$74,264",,,"$11,579",,,,,"$2,509,851",,,,"$69,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$115,581","$32,654",,,,,,,,,,,,,,,,,,,
Battle in Seattle (2007),,"$22,386",,,"$31,589",,,,,,,,,,,,"$618,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,155",,,,,,,,,$548,,,,,,,,,,,,,,,,,,,,
The Alphabet Killer (2008),,"$45,767",,,,,,,,,,,"$4,191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
