Movie Name,Domestic,United Kingdom,Italy,Germany,Poland,Spain,Netherlands,France,Finland,Norway,Portugal,South Africa,Czech Republic,Hungary,Türkiye,Romania,Slovakia,Lithuania,Bulgaria,Slovenia,United Arab Emirates,Iceland,Australia,Japan,South Korea,New Zealand,Russia/CIS,Argentina,Brazil,Colombia,Bolivia,Greece,Belgium,Uruguay,Sweden,Lebanon,Austria,Denmark,Croatia,Serbia and Montenegro,Switzerland (French),Ukraine,Oman,Mexico,Peru,Ecuador,Venezuela,Thailand,Taiwan,Switzerland (German),Egypt,Chile,Malaysia,Philippines,Singapore,Hong Kong,Vietnam,China,Israel,Switzerland,Paraguay,India,Bahrain,Panama,Estonia,Latvia,Costa Rica,Honduras,Indonesia,Kuwait,Qatar,Nigeria,Jordan,Kenya,Ghana,Trinidad & Tobago,Dominican Republic,Jamaica,Pakistan,Mongolia,Cambodia
Perfect Strangers (2016),,,"$19,630,803",,,,"$466,045",,"$38,182","$18,814","$126,784",,"$151,711","$151,857",,"$37,985","$81,100",,"$4,362","$2,155",,,"$1,671,748",,,,"$850,799","$498,772",,"$39,568",,"$97,743",,"$231,294",,,,,,,,"$47,053",,,,,,,,,,,,,,,,"$8,060,716",,,,,,,,,,,,,,,,,,,,,,,
Horse (1970),,,"$292,786",,,,,"$342,303",,,,,,,,,,,,,,,,,,,,,,,,,"$26,676",,,,,,,,,,,"$26,460","$74,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Family Fang (2015),,,"$275,410",,,,"$28,104",,,,"$8,550",,,,,,,,,,"$44,382",,"$20,008",,"$10,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway to Hellas (2015),,,,"$636,086",,"$70,652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,532",,,,,,,"$36,319",,,,,,"$37,707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Paces Without a Head (2009),,,,,,"$2,366",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ardor (2014),,,,,,$678,,,,,,,,,,,,,,,,,,,,,,"$76,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angry Indian Goddesses (2015),,,,,,"$118,854","$6,511","$142,276",,,"$12,338",,,,,,,,,,,,,,,,,,,"$6,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La escopeta nacional (1978),,,,,,"$6,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At the End of the Tunnel (2016),,,,,,"$770,248",,,,,,,,,,,,,,,,,,,,,,"$1,212,657",,,"$23,582","$31,827",,,,,,,,,,,,,,,,,,,,,,,,,"$18,887","$1,131,869",,,"$1,149",,,,,,,,,,,,,,,,,,,,
Just Between Us (2010),,,,,,"$13,593",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neon Bull (2015),,,,,,,"$44,251",,,"$17,238","$7,045",,,,,,,,,,,,,,,,,,"$77,951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Term Life (2016),,,,,,,"$52,520",,,,"$7,182",,,,,,,,,,"$162,835",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky Luke (2009),,,,,,,,"$17,182,596",,,"$24,625",,,,,,,,,,,,,,,,"$182,081",,,,,,"$465,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prague (2006),,,,,,,,,,"$139,656",,,,,,,,,,,,,,,,"$78,002",,,,,,,,,,,,"$1,300,921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
