Movie Name,Belgium,Argentina,Uruguay,Russia/CIS,Domestic,Brazil,Thailand,South Korea,Spain,Italy,Germany,France,Austria,Norway,United Arab Emirates,Bulgaria,Türkiye,Greece,Portugal,Croatia,South Africa,Slovenia,Iceland,Serbia and Montenegro,Oman,Australia,United Kingdom,Romania,Ukraine,Switzerland,Hungary,Chile,Switzerland (German),Finland,Poland,Slovakia,New Zealand,Singapore,Netherlands,Denmark,Sweden,Lebanon,Switzerland (French),Czech Republic,Lithuania,Latvia,Switzerland (Italian),Kenya,Mexico,Venezuela,Colombia,Peru,Bolivia,Ecuador,Japan,Hong Kong,India,Taiwan,Malaysia,Philippines,Vietnam,China,Qatar,Egypt,Israel,Bahrain,Jordan,Nigeria,Estonia,Ethiopia,Ghana,Cyprus,Panama,Paraguay,Cambodia
Extraction (2015),,,,"$12,722",,,"$15,952",,,,,,,,"$310,514",,"$48,568",,"$46,051",,,,,,"$10,250",,,,,,,,,,,,,,,,,"$81,817",,,,,,,,,,,,,,,,"$153,366",,,"$14,621",,,,,,,,,,,,,,
Barney Thomson (2015),,,,"$25,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolshoi Babylon (2015),,,,"$11,108",,,"$11,231","$4,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Josee, the Tiger and the Fish (2003)",,,,"$165,994",,,,"$473,194",,,,,,,,,,,,,,,,,,"$114,435","$56,685",,,,,,,,,,"$15,599",,,,,,,,"$13,086",,,,,,,,,,"$451,637",,,,,,"$77,706",,,,,,,,,,,,,,
Walking Vengeance (2008),,,,"$11,570",,,,,"$1,438,930",,,,,,,,,,,,,,,,,,,,,,,,,,"$8,919",,,,,,,,,,,,,,"$807,908",,,,,,,,,,,,,,,,,,,,,,,,,,
Under the Hawthorn Tree (2010),,,,"$14,581",,"$159,921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$229,777",,,,,,"$21,668,944",,,,,,,,,,,,,
Bajirao Mastani (2015),,,,$711,"$6,557,047",,,,,,,,,,"$1,948,555",,,,"$8,185",,,,,,,"$730,061","$1,929,856","$7,305",,,,,,,,,"$169,908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last: Naruto the Movie (2014),,,,"$428,849",,"$222,435",,"$329,622",,,,,,,,,,,,,,,,,,"$134,543",,,,,,"$133,532",,,,,"$29,030","$380,939",,,,,,,,,,,"$299,216",,,"$184,137",,,,"$186,995",,,,"$47,902","$47,534",,,,,,,,,,,,,,
SK1 (2014),,,,,"$10,330",,,,,,,"$2,563,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downtown 81 (2000),,,,,"$231,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
