imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sweden,Switzerland,Syria,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,Yugoslavia
0050083,,12 Angry Men (1957),,$379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0056172,,Lawrence of Arabia (1962),,"$1,838",,,,,,,,,,,,,,,,,"$45,306,425",,,,,,,,,,,,,,,,,,,,"$260,531",,,,,,,,,,,,,,"$17,127",,,,,,,$935,,,,,,,,,,,,,,,,,,,,,,"$133,775",,,,
0066921,,A Clockwork Orange (1971),,"$1,196",,,,,"$26,831",,,,,,"$34,274",,,"$22,647",,,"$26,617,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,112",,,,,,"$27,540",,,,,,,,,,"$35,485",,,,,,,,,"$174,898",,,,
0056592,,To Kill a Mockingbird (1962),,,,,,,,,,,,,,,,,,,"$592,237",,,,,,,,,"$6,909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0078788,,Apocalypse Now (1979),,"$673,036",,,,,"$110,791",,,,,,"$8,853",,,"$3,552",,"$178,159","$96,042,913",,,,,,,,"$245,634",,,,,,,,,,"$834,679",,"$3,854,234",,,,,,,,,"$181,861",,,,"$35,977","$66,770","$56,390",,,,,"$155,696","$19,267",,,"$109,516",,,,,,,"$17,422",,"$2,637","$113,117",,,,,,"$3,663",,,"$576,305",,,,
0064116,,Once Upon a Time in the West (1968),,,,,,,,,,,,,,,,,,,"$5,321,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$55,208","$6,002",,,,,,,$682,,,,,,,,,,,,"$5,103",,,,,,,,,,"$27,629",,,,
0086190,,Star Wars: Episode VI - Return of the Jedi (1983),"$333,640","$2,504,516","$402,341",,"$571,856","$41,406","$896,445","$31,845",,"$192,684","$332,782",,"$212,213","$31,969",,"$47,354",,"$382,054","$316,566,101","$55,000",,,"$15,888","$11,548","$251,708","$5,944,209","$6,015,724","$146,149",,"$237,414","$240,249","$54,618","$93,594","$96,360",,"$123,761","$1,219,593","$7,090","$6,361,540",,,"$11,739","$11,443",,"$37,538","$10,691","$144,591","$793,679",,,,"$463,014","$429,095","$446,866",,"$6,398","$174,083","$348,893","$424,193","$98,448","$200,907","$73,414",,,,"$28,316","$161,563",,"$13,483","$161,861",,"$524,901","$1,255,965","$701,651","$753,576",,"$422,459","$418,378","$106,922",,,"$8,743,239","$17,712","$77,352",,
0093191,,Wings of Desire (1987),,,,,,,,,,,,,,,,,,,"$3,333,969",,,,,,,,"$49,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,905",,,"$44,004",,,,,,,,,"$5,343",,,,,,,,,,"$24,501",,,,
0041959,,The Third Man (1949),,$699,,,,,,,,,,,,,,,,,"$1,067,364",,,,,,,,,,,,,,,,,,"$29,754",,,,,,,,,,,,,,,,$384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$128,306",,,,
0099685,,Goodfellas (1990),,"$6,563",,,,,,,,,,,,,,,,,"$46,909,721",,,,,,,"$9,736",,,,,,,,,,,,,,,,,,,,,,,,,,"$75,756","$1,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,683",,,,
