imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela
1204975,,Last Vegas (2013),"$1,380,876","$6,053,969","$914,176",,"$541,288","$77,180","$3,636,422","$598,003",,"$201,962",,"$526,909","$238,552","$282,113",,"$63,914,167","$9,713",,"$296,265",,"$296,377","$1,467,170","$2,597,023",,"$231,954","$568,660","$1,259,401","$57,577",,,"$868,493",,"$296,200",,,,"$328,649",,,"$8,388,133","$2,504,125","$629,654","$30,393","$131,068",,"$494,062","$52,653","$2,195,186","$687,557",,"$7,996,317","$65,997","$258,998","$324,505","$173,214","$641,728","$1,236,460","$1,546,963","$296,781",,,"$54,208","$527,547","$609,062","$1,234,023","$11,476,116","$518,463","$728,390"
2492916,,Muscle Shoals (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,174",,
2765340,,So Young (2013),,,,,,,,,,,"$114,710,000",,,,,,,,,,,,,,,"$183,256",,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,252",,,,,,,,,,,,,,,
2403029,,The Starving Games (2013),,,,,,"$6,562",,,,,,,,,,,,,,,,,,,,"$8,133",,,,,,,,,,,,,,,,,,,,"$99,962",,,,,,,"$60,098",,,,,,,,,,,,,,,
2431286,,Philomena (2013),"$395,133","$10,175,238","$302,431",,"$933,076","$8,029","$1,255,975",,,"$90,221",,"$230,103","$12,480","$6,751","$476,892",,,,,,"$598,518","$4,955,518","$3,074,776",,"$470,646","$90,833","$28,768","$47,605",,,"$8,017,373",,,,,,,,"$11,599","$410,388","$1,753,840","$3,058,734",,"$263,366",,"$52,546",,"$546,916","$455,571",,,"$28,000","$60,348",,"$32,094","$157,062",,"$2,280,059","$1,835,436",,,,"$11,790",,"$44,340","$18,474,238","$137,321","$111,730"
0816442,,The Book Thief (2013),"$274,082","$12,571,569","$189,942","$28,005","$231,185","$20,964","$6,713,800",,,"$588,589",,"$523,176","$76,260","$54,558",,,,"$134,254",,,"$100,218","$796,933","$1,781,787",,"$410,092","$284,475","$28,526","$18,135",,"$404,000","$4,968,674",,,,,,"$33,422",,"$37,874","$3,804,647","$308,679","$1,832,436",,"$797,774",,"$190,710","$116,506","$34,509","$302,355",,"$1,198,782","$18,965","$205,387","$15,419",,"$229,776",,"$7,121,641","$770,140",,,,,,"$66,377","$6,826,511","$160,322","$327,046"
2083355,,The Best Man Holiday (2013),,,,,,,,,,,,,,,,,"$7,690",,"$9,030",,,,,,,,,,,,"$15,475",,,,,,"$26,782",,,,,,"$50,685",,,,,,,,,,,,,"$638,688",,,,,,,,,"$188,393","$731,738",,
2718492,,Ida (2013),"$89,370","$206,616","$14,854",,"$185,026",,,,,,,"$62,932",,"$31,640",,,,"$24,771",,,"$198,973","$3,192,706","$94,786",,"$109,425",,,,,,"$681,460",,,,,,,"$8,705",,,"$254,598","$248,173",,"$59,920",,,,"$333,714",,,,,,,"$8,292",,,"$630,180","$248,785",,,,,,,"$600,324","$44,526",
1485763,,One Piece: Strong World (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,192,309",,,,,,,,,,,,,,,,,,,,,,,,"$852,420",,,,"$136,030","$14,490",,,,,,
1951264,,The Hunger Games: Catching Fire (2013),"$4,976,163","$26,324,299","$4,300,510",,"$7,638,468","$382,406","$17,291,146","$660,827",,"$2,868,078","$27,920,000","$3,919,810","$302,745","$919,662","$6,337,154",,"$101,187","$1,036,612",,,"$3,191,978","$29,672,593","$43,428,464","$35,629","$730,476","$3,533,717","$1,054,785","$377,587",,"$3,739,694","$11,032,504",,"$1,749,023",,,,"$390,166",,"$3,663,266","$25,157,484","$8,845,950","$4,132,877","$194,450","$5,619,053",,"$2,376,477","$5,838,664","$4,018,813","$1,955,652",,"$23,244,105","$69,049","$4,798,663","$363,109","$245,568","$1,718,297","$7,347,573","$15,174,823","$10,982,878",,,"$3,327,030","$3,951,498","$1,914,837","$2,801,046","$55,501,664","$363,167","$4,049,230"
1170358,,The Hobbit: The Desolation of Smaug (2013),"$5,158,520","$34,565,817","$8,573,280",,"$8,614,032","$926,306","$17,821,725","$1,441,312",,"$3,663,776","$74,730,000","$4,713,891","$1,434,769","$4,578,821","$12,292,692","$258,387,334","$215,442","$1,465,574","$473,939",,"$6,905,914","$44,723,924","$88,076,370",,"$3,981,305","$4,081,279","$2,421,573","$791,080","$1,826,729","$2,061,767","$17,305,657",,"$13,655,556",,,,"$484,274",,"$5,383,458","$18,394,490","$16,286,314","$6,796,878",,"$11,371,258",,"$2,509,097","$3,567,068","$12,908,529","$2,490,047",,"$45,032,050","$639,986","$4,176,530","$1,164,616","$693,538","$1,841,586","$16,392,050","$23,551,615","$20,532,539",,,"$3,188,861","$6,918,739","$4,788,551","$2,706,715","$70,275,514","$226,579","$3,089,425"
