imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1698641,,"Alexander and the Terrible, Horrible, No Good, Very Bad Day (2014)","$1,322,035","$5,891,759",,,,"$281,139","$1,100,501",,,"$431,214",,"$1,410,665",,,,,,"$829,078",,,,,"$96,112",,,"$424,656",,"$47,189",,,"$345,101",,,,,"$53,121",,"$42,270","$396,723","$4,094,389",,"$553,050",,"$7,975",,,"$1,286,806","$173,129",,"$291,196",,,"$1,892,466",,"$293,072",,,"$446,093",,"$1,855,610",,,,,"$182,114",,"$13,705",,,"$4,881,803","$130,912","$1,777,491",
2467046,,Left Behind (2014),,,,,,,"$2,553,164",,,"$219,601","$5,331,602",,"$3,951",,,,,"$46,366","$52,962",,,,,,,,,,,,,"$1,048,732",,,,"$12,700","$148,009",,"$780,847",,,,,,,,"$903,504","$467,249",,$758,,,"$801,181",,"$317,538",,,"$14,424",,,,,,,"$141,650",,,,"$541,734",,,,
2960930,,Extraterrestrial (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,613",,,,,,,,,,,,,,,,,,,,
2509850,,The Rewrite (2014),"$106,602",,,,,,"$87,320",,,,,,,,,,,,,,,,,,,"$121,025",,,,,,,,,,,,,"$21,832",,,,,,,,,"$14,168",,,,,,,"$84,296",,,,"$303,973",,,,,,,"$15,900",,,,,,,
2510434,,Alien Abduction (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,384",,,,,,,,,,,,,,"$20,444",,,,
1204977,,Ouija (2014),"$1,133,470",,"$493,280",,"$448,245",,,,,"$830,560",,,"$35,013","$62,998",,"$50,856,010",,"$141,257","$148,707",,"$13,728","$1,742,307","$3,088,410",,"$43,986","$125,615",,,"$82,857",,,"$2,219,716",,,,,"$109,207","$97,045","$1,579,373","$6,617,360","$633,973",,,,,,,"$674,381","$462,780",,,,"$2,861,431",,"$669,611","$27,500","$76,286",,"$398,956","$2,536,085","$367,789",,"$36,663",,"$2,504,201","$155,745","$86,314","$268,043","$852,788","$5,095,101","$92,311","$1,329,563","$676,116"
2872718,,Nightcrawler (2014),,"$1,987,491","$175,673",,"$93,164",,,"$36,471",,,,,"$21,033","$33,615","$61,577",,,,"$50,951","$60,126","$122,780","$2,895,717","$453,505",,"$27,740","$239,160","$63,327","$54,072","$44,037",,,"$788,653",,,,"$8,547","$67,691",,"$94,873","$153,857","$175,351","$303,139",,"$45,115","$27,707",,,"$33,379","$1,156,643","$64,154",,"$173,704","$26,843","$4,031","$147,078",,,"$65,599",,"$277,532",,,,,"$204,516",,"$33,760",,"$350,327","$4,408,153","$13,527",,
2245084,,Big Hero 6 (2014),"$9,105,826","$17,773,756","$1,453,877","$184,185","$2,511,225","$1,066,003","$12,822,819","$327,306",,"$4,749,753","$83,765,749","$4,811,849","$162,675","$649,683","$2,686,610","$222,527,828",,"$2,289,378","$74,155","$278,447","$1,046,219","$11,253,511","$14,722,100",,"$731,876","$4,303,278","$604,067","$158,847","$654,558",,"$1,854,841","$12,146,460","$76,825,518","$80,468",,"$112,294","$132,293","$226,079","$6,144,385","$16,989,441","$2,782,510","$2,404,916",,"$2,100,866",,,"$3,360,281","$4,407,005","$3,024,540","$1,400,896",,"$552,921","$20,236,417","$104,835","$4,108,229","$244,294","$91,873","$1,551,080","$20,136,819","$18,460,857","$3,478,537",,,,"$4,712,203","$1,795,540","$3,068,560","$959,075","$1,207,021","$31,565,340","$293,078","$2,829,429","$2,858,475"
1407972,,Dream Home (2010),,,,,,,,,,,,,,,,,,,,,,,,,,"$378,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3253930,,Marshland (2014),,,,,,,,,,,,"$21,139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$76,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262227,,The Book of Life (2014),"$1,268,557","$420,570",,,"$580,531","$78,636","$4,945,569",,,"$1,183,897",,"$1,747,125",,,,,,"$849,611",,,,"$3,033,287",,,,,,,,,,,,,,,,,"$601,032","$10,391,181",,"$151,571","$13,106",,"$46,541",,"$905,486","$348,628",,,,,"$1,179,013",,"$429,705",,,"$120,290",,"$1,154,146",,,,,,,"$238,849","$102,539","$227,755","$9,103,293","$97,450","$2,698,548",
1638002,,"Love, Rosie (2014)",,"$1,438,277","$599,026",,"$132,914",,"$1,596,869",,,"$97,874",,,"$38,229","$137,312",,,,,"$27,457",,,,"$3,764,672",,,"$842,813","$26,695","$35,968","$42,641",,,"$1,003,283",,,,"$24,905","$152,349","$55,718","$289,639","$1,261,792","$542,115","$289,525",,"$171,804",,,"$59,537",,,"$33,138",,,"$805,943",,"$265,484","$72,371","$10,703","$98,962","$2,312,394",,"$45,119",,,,"$480,732","$270,165",,"$93,276","$130,470","$1,888,461","$11,639",,"$27,271"
2992146,,Young Detective Dee: Rise of the Sea Dragon (2013),,"$64,451",,,,,,,,,"$96,400,000",,,,,,,,,,,"$253,567",,,,"$395,608",,,,,,,,,,,,,"$473,981",,,"$20,751",,,,,,,,,,,,,"$725,132",,,,"$245,134",,,,,,,"$108,484",,,,,,,
1795369,,National Theatre Live: Frankenstein (2011),,"$174,394",,,,,,,,,,,,,,"$417,783",,,,,,,,,,,,,,,,,,,,,,,,,,"$21,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,062",,,
