imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
3235888,,It Follows (2014),"$2,761","$217,943","$28,779",,"$120,421",,"$252,405",,"$22,057",,,"$25,097",,"$76,200",,,,,"$48,285","$16,180","$17,936",,,"$733,443","$162,049",,"$15,033","$79,807","$17,455",,"$74,290",,,"$709,606",,,,,,"$8,555","$29,040",,"$89,070","$471,577",,"$171,167","$66,431",,"$613,468",,,,,"$129,794","$9,688","$192,695","$5,637",,,"$312,931",,,"$22,549",,,"$186,962","$215,870",,,,,"$23,366","$94,530",,"$68,411","$10,840","$200,918","$1,561,728","$8,794",,"$159,610"
2962726,,The Anomaly (2014),,,,,,"$119,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$72,239",,,,,,,,,,,,"$53,788",,,,,"$6,536",,,,,,,,,,,,,,,,,,,,,
1924277,,Unit 7 (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,822",,,,,,,,,,,,,,,,,,,,,
2132324,,White Elephant (2012),"$8,212",,,,"$39,958",,"$338,903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,603",,,,,,,,,,,,,"$1,284,608",,,,,,,,,,,"$25,920","$57,333",,
2246837,,Maattrraan (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,124,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0817228,,The Tattooist (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$76,562",,,,"$380,118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400275,,Goodbye to Language (2014),,,"$12,440",,,,"$72,927",,,,"$1,445",,,,,,,,,,,,,"$60,905",,,,,,$575,,,,,,,,,,,,,,"$14,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,646",,
1119194,,The Perfect World of Kai (2007),,,,,"$1,801",,,,,,,,,,,,,,,,,,,"$44,999",,,,,,,,,,,,"$1,555,297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$182,884",,,,,,,,,,,,,,,
2357377,,The Berlin File (2013),,,,,,,,,,,,,,,,"$665,210",,,,,,,,,,,,"$63,681",,,,,,,,"$96,249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,146,202",,,,,,,"$1,506",,,,"$6,808",,,,
3404140,,The Attorney (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$193,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$77,796,780",,,,,,,,,,,,,,,
