Movie Name,France,Greece,Netherlands,United Kingdom,Portugal,Domestic,Colombia,Uruguay,Peru,Chile,United Arab Emirates,Mexico,Argentina,Bolivia,Paraguay,Russia/CIS,Thailand,South Korea,Türkiye,Ukraine,Estonia,Lithuania,Philippines,New Zealand,China,Australia,Spain,Singapore,Norway,Germany,Italy,Finland,South Africa,Iceland,Slovenia,Hong Kong,Taiwan,Belgium,Japan,India,Vietnam,Malaysia,Indonesia,Pakistan,Switzerland,Poland,Sweden,Denmark,Austria,Israel,Hungary,Czech Republic,Lebanon,Croatia,Romania,Egypt,Slovakia,Bulgaria,Serbia and Montenegro,Latvia,Cyprus,Brazil,Venezuela,Ecuador,Panama,Dominican Republic,Switzerland (French),Nigeria,Trinidad & Tobago,Kuwait,Qatar,Bahrain,Jordan,Oman,Jamaica
Rogue One: A Star Wars Story (2016),"$39,366,913","$1,351,573","$7,888,694","$81,432,097","$1,680,287","$533,539,991","$3,065,350","$183,120","$2,729,934","$3,482,299","$2,655,562","$11,409,999","$3,695,360","$771,807","$144,863","$11,409,243","$2,425,539","$7,512,870","$1,748,618","$1,296,731",,"$216,339","$4,322,587","$5,083,811","$69,484,899","$37,481,197","$16,685,342","$4,120,651","$5,203,121","$46,603,039","$10,866,280","$4,405,150","$1,918,732","$720,928","$244,048","$5,493,212","$2,636,512","$5,078,310","$39,164,663","$1,143,293",,"$3,651,314",,,"$5,606,871","$8,159,017","$11,550,424","$6,795,261","$4,459,391",,"$3,634,448","$1,586,391",,"$557,669","$1,315,534",,"$484,714","$978,634",,,,"$14,588,970","$1,635,844",,,,,,,,,,,,
Live by Night (2016),"$1,800,000","$388,545","$230,000","$1,600,000","$153,682",,"$60,000","$5,457",,,"$392,156","$316,000","$112,000","$8,705","$2,642","$1,300,000","$25,399",,"$82,000","$167,694",,"$39,614",,"$44,237",,"$634,000","$502,000",,"$115,354","$283,000","$204,000","$79,346","$44,280","$30,329",,,"$412,000",,,,,,"$190,000",,"$136,000",,,,,,"$160,508","$36,717",,"$54,066","$230,177",,"$48,020","$74,543",,,,"$242,000",,,,,,,,,,,,,
Split (2016),"$13,076,603","$873,226","$1,668,581","$13,959,600","$437,765","$138,291,365","$933,728","$180,887","$1,170,001","$801,929","$1,377,225","$8,407,831","$2,680,363","$63,531","$39,995","$9,988,169","$519,305","$11,971,802","$503,810","$627,359","$60,294","$75,063","$826,683","$850,512",,"$9,503,721","$8,114,497","$897,103","$646,922","$11,088,289","$5,796,616","$330,530","$153,263","$64,952","$30,519","$2,518,122","$5,283,129","$1,224,581","$1,593,848","$338,359","$514,473","$662,092","$2,138,965","$50,855","$1,308,740","$550,972","$1,253,308","$374,849","$697,849","$872,545","$824,360","$323,334","$292,012","$126,644","$376,701","$640,059","$217,669","$93,071","$58,816","$47,758","$46,081","$4,831,714","$395,769","$314,389","$1,112,358",,,,"$101,504",,,,,,
Underworld: Blood Wars (2016),"$2,120,938","$392,610","$314,914","$826,251","$380,001",,"$1,105,444","$39,733","$754,934","$345,192","$1,392,845","$3,401,765","$423,605","$267,687","$18,082","$3,911,851","$1,966,819","$479,873","$954,377","$515,048","$34,986","$33,550","$1,689,066","$389,561",,"$2,791,959","$1,696,900","$973,795",,"$2,195,520","$428,076",,"$366,243","$25,157","$17,202","$914,200","$1,511,032","$154,101","$119,356","$1,051,941","$699,792","$2,255,823","$2,701,146","$94,946","$110,784","$363,569","$74,756",,"$448,907",,"$135,607","$137,688","$135,511","$66,712","$593,458","$107,413","$75,241","$217,260",,"$28,755",,"$4,860,281","$292,462","$601,183",,,,,"$246,974",,,,,,
Miss Sloane (2016),"$800,000","$48,968","$59,595","$701,763","$75,632","$3,500,605","$45,174",,,"$10,223","$76,340",,,,,"$765,625","$9,909","$330,276",,"$32,859",,,,,,,"$1,145,940",,,"$825,847","$88,298",,"$11,860",,,,"$188,871",,,,,,,,"$131,273","$35,113",,,,,,,,,,,,,,,,"$15,742",,,,,,,,,,,,,
Passengers (2016),"$9,789,939","$341,895","$3,419,068","$15,686,317","$975,474",,"$1,528,089","$108,758","$1,284,747","$830,423","$1,957,557","$6,846,086","$1,514,205","$259,817","$42,501","$17,343,776","$1,544,254","$4,598,597","$1,855,881","$1,153,257","$206,239","$286,459","$1,354,213","$1,461,845","$45,279,870","$10,956,637","$7,215,580",,"$1,666,861","$13,602,992","$5,485,249","$891,432","$1,011,418","$159,458","$70,952","$2,764,994","$2,296,275","$1,790,642","$5,124,593","$1,055,730","$378,290","$1,240,720","$1,712,296","$89,255","$1,524,017","$1,976,799","$2,494,652","$1,138,149","$1,326,773","$893,487","$1,026,300","$427,713","$326,464","$285,508","$933,599","$257,065","$190,580","$313,143",,"$187,169",,"$7,090,198","$432,301","$643,286",,,,,,,,,,,
Hidden Figures (2016),"$5,583,242","$118,260","$1,178,053","$7,916,554","$446,692","$169,607,287","$427,812","$60,196","$143,147","$214,970","$313,719","$1,664,308","$319,058","$15,985","$8,811","$219,350","$118,468","$3,152,987","$153,970",,,,"$97,383","$1,883,426",,"$13,573,717","$3,789,524","$259,594","$3,648","$4,696,971","$3,329,394","$317,186","$277,221","$43,120",,"$815,441","$1,881,419","$485,631","$4,113,815","$181,341",,"$126,410","$87,258",,"$1,317,495","$125,298","$1,123,870","$527,137","$345,383","$1,286,183","$118,545",,"$76,799",,,,,,,,,"$2,107,819","$86,101","$127,914",,"$36,843",,,"$120,311","$230,792","$18,000","$16,149","$14,869","$3,648","$51,212"
Fences (2016),"$745,800",,"$152,522","$2,174,406","$261,321",,,,,,"$209,876",,,,,,,,,,,,,"$71,724",,"$903,215","$940,732",,,"$264,185","$261,690",,"$72,576",,,,,"$34,055",,,,,,,,,,,"$33,674",,,,,,,,,,,,,"$472,543",,,,,,,,,,,,,
20th Century Women (2016),"$352,339","$27,687","$342,388","$75,197","$90,607",,,,,,,,,,,,"$16,587","$245,990",,,,,,,,"$344,330",,,"$12,936",,,"$12,706","$29,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colossal (2016),,"$28,271",,"$347,719","$7,279",,"$48,631",,,,"$84,021","$135,098","$35,153","$52,064",,"$397,162",,"$81,194",,"$44,454",,,,"$13,468",,"$134,908","$86,035",,,,,,"$3,346",,"$3,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
