imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2006295,,The 33 (2015),"$21,430",,,,,"$11,622","$271,392",,"$4,937,597","$3,449,490","$565,323",,,,,"$500,794",,,,,,"$10,214",,,"$190,699",,"$4,353","$11,743",,,,,,,"$78,319",,"$280,994","$3,072,751",,,,,"$3,542","$151,546","$24,336",,"$35,909",,,,,"$87,633",,,"$6,284","$274,964",,,,,"$117,449","$148,808",,,"$327,168","$37,342","$16,779","$1,105,820",
2922590,,Blood of My Blood (2015),"$55,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,943",,,,,,,,,,,,,,,,,,,
4173478,,Journey to the Shore (2015),,,,,,,,,,,,,,,,,,,,,,,,,"$50,686",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526578,,Ao: The Last Hunter (2010),,,,,,,"$14,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4025514,,Suburra (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,970",,,,,,,,,,,,,
3477554,,The Snow Queen 2 (2014),,,,,,,,"$97,534",,"$5,133,353",,"$109,379","$122,633",,,,,,,,,,,,,,,,,,,"$13,999",,,"$34,793","$48,741",,,,,,,,"$131,352",,,"$149,310",,"$321,908","$4,498,015","$33,695",,"$114,528",,"$38,393","$3,849,454","$172,188",,,,,,"$487,125","$175,077","$108,580",,,,
2113636,,Colt 45 (2014),,,,,,,,,,"$258,073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,752"
2393827,,Howl (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$104,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$232,578"
0457355,,From Mexico with Love (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2582502,,Fathers & Daughters (2015),,,,,,"$24,050","$42,161",,,,"$51,445",,,,,,,,,,,,,,,,,,,,"$280,582",,,,,,,"$551,399",,,,,,,,,,,,"$38,020",,"$26,099",,,,"$391,277",,,,,"$153,653","$14,146",,,,,,,"$6,917"
