imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Bosnia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kuwait,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Norway,Oman,Pakistan,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies,Yugoslavia
0109831,,Four Weddings and a Funeral (1994),,,,,,,,,,,,,,,,,,,,,"$52,700,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0110213,,The Jungle Book (1994),,,,,,,,,,,,,,,,,,,,,"$43,229,904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,159,498",,,,,
0110357,,The Lion King (1994),"$3,146,110","$24,796,241","$946,894",,,"$741,527","$208,563",,"$2,058,876",,,,,,"$1,596,456","$22,121",,"$94,721",,"$784,656","$422,783,777",,"$15,568","$1,300,272","$140,459",,"$263,091","$68,817,103","$70,857,451","$572,030",,"$48,790",,"$97,639","$61,577",,"$366,668","$38,252,264",,,,,"$233,836",,,,"$198,611","$6,722,416","$2,412,806","$824,102","$1,542,185",,,,"$1,129,086","$116,584","$870,578","$340,279",,,,"$6,621,414",,,,"$121,324",,,"$853,788",,"$5,533,614","$27,444,821","$949,694",,,"$92,407","$696,619","$94,512","$506,996","$19,578,622","$114,909","$1,723,535",,,
0111686,,New Nightmare (1994),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,622,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0110475,,The Mask (1994),"$7,703,153","$15,123,750","$1,143,454",,"$59,806","$3,268,091","$101,115",,"$9,581,042","$48,530",,"$264,419","$1,312,607",,"$1,236,360","$387,901",,"$252,096",,"$1,788,748",,"$65,000",,"$69,000","$234,758",,"$668,020","$26,000,000","$9,853,637","$1,200,000",,"$2,324,568","$457,239","$291,000","$349,690","$800,000","$1,070,000","$12,773,533",,"$34,875,028",,,"$436,447",,,,"$672,468","$2,959,184","$2,391,537","$1,670,864","$1,020,998",,,,"$200,000","$916,667","$1,421,123","$1,000,000","$1,393,266",,"$127,974","$433,732",,,,"$2,243,452",,"$388,710","$2,357,498",,"$3,245,000","$10,750,000","$2,300,000","$2,374,700","$2,300,333","$1,530,609","$740,069",,,"$55,000,000",,"$276,811",,"$109,680",
0111257,,Speed (1994),,$494,,,,,,,,,,,,,,,,,,,"$121,248,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0111742,,Wolf (1994),,,,,,,,,,,,,,,,,,,,,"$65,002,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0111301,,Street Fighter (1994),,,,,,,,,,,,,,,,,,,,,"$33,423,521",,,,,,,,,,,,,,,,,"$2,794,549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0106226,,The Age of Innocence (1993),,,,,,,,,,,,,,,,,,,,,"$32,255,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0109254,,Beverly Hills Cop III (1994),"$548,248","$3,804,832","$589,526",,,"$2,290,095",,,"$1,871,980","$17,837",,"$233,811","$57,345",,"$467,924","$141,043","$28,076",,"$127,276","$1,409,576",,"$64,066",,"$31,763",,,"$921,506","$14,263,913","$7,298,139","$316,261",,"$554,270","$474,916",,,"$449,635","$693,183","$2,259,461",,"$12,339,049",,,"$78,830",,"$35,055",,,"$2,115,024","$2,444,109","$224,136","$2,249,023",,,,"$92,821","$401,426","$1,335,381","$380,910",,,"$74,382",,,,,"$542,515",,"$65,288","$980,478",,"$406,319","$2,481,294","$1,407,125","$1,654,216","$1,617,169","$384,972","$154,689",,,"$5,850,519","$25,416","$81,805",,,
0106519,,Carlito's Way (1993),,,,,,,,,,,,,,,,,,,,,"$36,948,322",,,"$3,205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0106582,,Cliffhanger (1993),,,,,,,,,,,,,,,,,,,,,"$84,049,211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
