Movie Name,Italy,France,Argentina,Uruguay,South Korea,Germany,Netherlands,Spain,Belgium,Brazil,China,Serbia and Montenegro,Russia/CIS,United Kingdom,India,Singapore,Norway,Bulgaria,Türkiye,Portugal,Mexico,Australia,New Zealand,Malaysia,Kuwait,South Africa,Peru,Chile,Lebanon,Taiwan,Nigeria,Greece,Austria,Switzerland,Poland,Czech Republic,Finland,Slovenia,Romania,Lithuania,Slovakia,Domestic,Colombia,Denmark,United Arab Emirates,Iceland,Thailand,Hong Kong,Vietnam,Japan,Ukraine,Sweden,Oman,Venezuela,Israel,Hungary,Ecuador,Philippines,Egypt,Kenya,Ghana
Force (2011),,,,,,,,,,,,,,,"$4,716,590",,,,,,,"$72,907","$2,914","$11,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Band of Angels (1957),,,,,,,,,,,,,,,,,,,,$315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Directed by Andrei Tarkovsky (1988),,,,,,,,,,,,,,,,,,,,"$15,851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgana (2012),,,,,,,,,,,,,,,,,,,,,"$1,340,446",,,,,,"$136,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okkadu (2003),,,,,,,,,,,,,,,,,,,,,,"$2,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All the Best: Fun Begins (2009),,,,,,,,,,,,,,,,,,,,,,"$10,702","$4,895","$14,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiss of Life (2007),,,,,,,,,,,,,,,,,,,,,,"$5,483",,,,,,,,,,"$2,721,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boss (2013),,,,,,,,,,,,,,,,,,,,,,"$53,580","$52,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dad's Army (2016),,,,,,,,,,,,,,,,,,,,,,,"$427,369",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heropanti (2014),,,,,,,,,,,,,,,,,,,,,,,"$27,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girl Asleep (2015),,,,,,,,,,,,,,,,,,,,,,,"$3,767",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Patriarch (2016),,,,,,,,,,,,,,,,,,,,,,,"$913,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Confirmation (2016),,,,,,,,,,,,,,,,,,,,,,,"$5,746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayan (2009),,,,,,,,,,,,,,,,,,,,,,,,"$1,046,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciudad Delirio (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lily Sometimes (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
