Movie Name,United Arab Emirates,Mexico,Peru,Ecuador,France,Greece,Austria,Belgium,United Kingdom,Iceland,Argentina,Chile,New Zealand,Brazil,Uruguay,Australia,Bulgaria,Spain,Germany,Domestic,Russia/CIS,South Africa,Lebanon,Oman,Jordan,Kenya,East Africa,Norway,Taiwan,Malaysia,Philippines,Singapore,Thailand,Israel,Italy,Netherlands,Denmark,Sweden,Portugal,Türkiye,Czech Republic,Croatia,Finland,Slovakia,Serbia and Montenegro,Slovenia,South Korea,Hong Kong,Colombia,Switzerland (German),Hungary,Romania,Poland,Ukraine,Lithuania,Estonia,Latvia,Egypt,Bolivia,India,China,Qatar,Venezuela,Switzerland (French),Japan,Bahrain,Nigeria,Ghana,Ethiopia,Vietnam,Switzerland
The Blue Room (2014),,,,,"$742,520","$64,542","$48,375","$39,187","$5,490","$3,091","$57,915","$7,034","$10,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gangsters (2002),,,,,"$1,313,972",,,,,,,,,,,,"$9,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistress America (2015),,,,,"$105,955",,"$23,119",,"$257,789",,,,"$9,537","$64,409",,"$52,126",,"$107,385","$73,795",,,"$16,961",,,,,,"$37,214",,,,,,,"$39,510",,,,,,,,,,,,"$52,506",,,,,,,,,,,,,,,,,,,,,,,,
True Story (2015),,,,,"$3,784",,,,"$214,608",,,,,,,,,"$199,874","$91,436",,,"$32,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girlhood (2014),,,,,"$1,623,908",,,"$43,023","$101,492","$1,372",,,,,,,,"$24,399",,,,,,,,,,"$8,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dope (2015),,,,,"$131,397",,,,,,,,"$18,705",,,,,"$2,436","$71,910",,,"$2,717",,,,,,,,,,,,,,"$201,096","$3,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Songs My Brothers Taught Me (2015),,,,,"$112,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reality (2012),,,,,"$337,325",,,"$39,255","$25,237",,"$42,868",,"$2,786","$66,284",,,,"$93,604",,,"$20,834",,,,,,,,,,,,,,"$2,617,973",,,,"$32,253",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amnèsia (2002),,,,,"$170,565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,000,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estomago: A Gastronomic Story (2007),,,,,"$28,466",,,"$30,463",,,,,,"$302,539",,,,"$262,827",,,,,,,,,,,"$5,517",,,,,,,"$47,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Julie (2014),,,,,"$81,251",,"$6,855",$415,"$45,260",,,,,,,,,"$311,670",,,,,,,,,,"$40,148",,,,,,,,,,,"$26,189",,,,,,,,,,"$8,657",,,"$6,649",,,,,,,,,,,,,,,,,,,
All Together (2011),,,,,"$3,062,436",,"$422,032",,,,"$111,615",,,"$587,199","$57,483","$284,301",,"$387,303","$3,037,758",,,,,,,,,"$81,329",,,,,,,"$255,537","$312,528",,,"$10,106",,"$8,396",,,,$232,,,,"$174,468",,,,,,,,,,,,,,,,,,,,,,
Masai: The Rain Warriors (2004),,,,,"$267,639",,,,,,,,,,,,,,,"$7,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost River (2014),,,,,"$335,454",,"$9,704","$27,828",,,,,,,,,,"$18,324",,,,,,,,,,,,,"$15,070",,"$3,687",,"$130,371",,,,,,,,,,,,,,,,,,"$28,375",,,,"$1,256",,,,,,,,,,,,,,
Unforgivable (2011),,,,,"$1,099,385",,,"$69,332",,,,,,,,,,,,,"$22,125",,,,,,,,,,,,,,,,,,"$6,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the Name of My Daughter (2014),,,,,"$2,127,384","$109,325",,"$4,951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,711",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wonders (2014),,,,,"$1,127,672","$23,566","$30,189","$72,481",,,"$32,109",,,,,,"$4,381","$49,785",,"$73,378","$29,466",,,,,,,,,,,,,,"$1,274,922","$83,875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knight of Cups (2015),,,,,"$102,931",,"$16,434","$26,169","$14,899",,,,,,,,,,"$144,174",,,"$2,425",,,,,,,"$4,121",,,,"$4,754",,,"$64,402",,,"$56,396",,,,"$13,534",,,,"$10,043",,,,,,,,,,,,,,,,,,,,,,,,
Ixcanul (2015),,,,,"$242,266",,,"$47,995",,,,,,,,,,,"$4,789",,,,,,,,,"$4,629",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud 9 (2008),,,,,"$85,830",,"$181,125","$10,441","$28,302",,"$56,116","$37,480",,,"$8,824",,,"$155,768","$3,874,417","$91,675","$2,034",,,,,,,"$69,885",,,,,,,"$145,980","$53,115",,,"$10,526",,,,,,,,"$5,363",,"$52,628",,$68,,,,,,,,,,,,,,,,,,,,"$84,994"
Reality (2014),,,,,"$408,492",,,"$10,490",,,,,"$5,601",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,237",,,,,,,,,,,,"$2,400",,,,,,,,,,,,,,,,,,
The Magic Flute (2006),,,,,"$159,065",,,,"$133,655",,"$27,214",$629,,,,"$35,140",,"$115,600","$32,170",,,,,,,,,,"$12,050",,,,,,"$92,753",,,"$87,026",,,,,,,,,,,,,,,,,,,,,,,,,"$5,688",,"$1,294,175",,,,,,
Papa (2005),,,,,"$2,029,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,747,575",,,,,,,,,,,,,,,,,,,,,,,,
The Connection (2014),,,,,"$11,447,153",,,,,,,,,"$74,278",,,,"$16,048",,,"$40,555",,"$9,878",,,,,"$96,226",,,,,,,"$158,810",,,,,"$16,242",,,,,,,,,,,,,,,"$6,527",,"$5,744",,,,,,,,,,,,,,
Impy's Wonderland (2008),,,,,"$738,142",,"$208,296",,,,,,,"$327,790",,,,,"$3,072,041",,"$1,234,584",,,,,,,,,,,,,,"$273,774",,,,"$78,805","$343,601",,,,,,,"$164,546",,,,,,"$380,775",,,,,,"$327,790",,,,,,,,,,,,
Bright Days Ahead (2013),,,,,"$3,318,325","$19,500","$156,578","$73,405","$71,929",,,,,"$442,325","$11,237",,,"$130,820","$562,561","$21,770","$50,709",,,,,,,,,,,,,,,"$89,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
