Movie Name,Domestic,Australia,Norway,Iceland,Italy,Spain,Germany,Poland,France,Denmark,Sweden,Czech Republic,Belgium,Finland,Netherlands,Portugal,United Kingdom,Türkiye,Greece,South Africa,Austria,Slovenia,Croatia,Slovakia,Mexico,Venezuela,Argentina,Brazil,Peru,Chile,Uruguay,New Zealand,Russia/CIS,Singapore,Thailand,United Arab Emirates,Israel,Egypt,Lebanon,East Africa,Nigeria,Ghana,Bahrain,Ukraine,Hungary,Colombia,Ecuador,Bolivia,Philippines,Japan,India,Bulgaria,Serbia and Montenegro,Malaysia,Trinidad & Tobago,Jamaica,Curaçao,Aruba,South Korea,Hong Kong,Indonesia,Switzerland,Latvia,Taiwan,China,Estonia,Lithuania,Russia,Oman,Switzerland (German),Kuwait,Qatar,Romania
Men in Black 3 (2012),,"$17,740,460","$2,497,878","$170,085","$7,671,850","$9,423,594","$26,286,460","$1,953,975","$18,651,235","$1,193,146","$2,450,998","$1,524,571","$2,576,155","$1,000,009","$2,956,169","$471,562","$34,182,267","$1,029,725","$790,654","$2,022,497","$275,139","$211,435","$214,788","$437,521","$16,054,707","$5,465,350","$4,261,681","$16,225,163","$2,382,122","$2,357,571","$429,922","$2,282,702","$36,541,051","$4,231,573","$2,617,212","$2,994,318","$1,677,501","$277,145","$243,140","$154,986","$211,598","$34,388","$120,790","$3,811,177","$1,174,616","$4,305,183","$1,225,971","$502,100","$3,161,098","$38,912,742","$4,955,291","$436,177","$96,943","$5,110,670",,,,,"$23,488,262","$6,118,778","$2,898,675",,,,"$77,246,700",,,,,,,,
Snow White and the Huntsman (2012),,"$20,952,675","$2,055,389","$107,558","$11,357,199","$12,177,629","$15,084,870","$2,007,506","$15,156,802","$1,741,526","$4,268,735","$603,549","$3,862,666","$1,235,055","$3,871,179","$1,418,749","$25,247,867","$2,128,099","$1,024,274","$1,716,004","$1,892,887","$140,853","$203,727","$166,359","$16,079,203","$4,398,410","$3,857,008","$12,265,099","$1,652,031","$1,147,878","$128,121","$2,507,328","$12,822,294","$2,708,423","$2,598,889","$2,401,375","$821,677","$380,388","$345,335","$51,079","$94,651",,,"$1,237,882","$670,110","$2,627,399","$615,184","$234,928","$2,892,696","$21,172,247","$454,702","$298,711","$77,485","$3,626,479",,,,,"$3,756,435","$1,304,505","$3,190,947",,,,,,,,,,,,
Prometheus (2012),,"$18,720,677","$2,763,615","$186,328","$6,499,130","$13,144,422","$14,049,633","$3,807,822","$15,842,943","$1,667,902","$5,714,048","$1,246,860","$1,907,065","$1,274,222","$2,217,912","$999,297","$39,899,425","$1,941,488","$895,213","$727,297","$1,492,197","$153,112","$372,651","$386,957","$8,396,519","$1,686,964","$2,135,619","$7,237,459","$1,184,895","$1,354,121","$89,730","$2,124,792","$21,267,837","$2,052,274","$1,244,228","$1,052,296","$507,282","$132,124","$75,021","$62,820","$64,301","$895,213","$39,938","$1,685,878","$1,428,140","$1,703,278","$374,016","$133,253","$1,067,040","$21,816,409","$1,983,625","$376,799","$157,708","$1,626,408",,,,,"$7,024,145","$3,482,784",,,,,,,,,,,,,
Desi Boyz (2011),,"$249,645",,,,,,,,,,,,,,,"$928,010",,,,,,,,,,,,,,,"$79,084",,,,,,,,,,,,,,,,,,,,,,"$19,728",,,,,,,,,,,,,,,,,,,
Take This Waltz (2011),,"$632,761","$128,106",,,,"$422,744",,,"$50,195","$91,141",,"$57,239","$73,846","$119,826","$28,228","$977,574","$146,182","$24,078",,"$144,937",,,,"$71,341",,,"$125,590",,,,"$93,803",,,,,,,"$13,073",,,,,,,,,,,,,,,,,,,,"$525,594",,,,,,,,,,,,,,
Get the Gringo (2012),,"$561,368",,,,,,,,,,,,,,,,,,,,,,,"$1,640,384","$244,121","$165,607","$1,025,462","$162,060","$30,558","$19,027",,"$839,686","$225,880","$135,496",,,,,,,,,,,,,"$19,897","$93,997",,,,,"$35,245",,,,,,,,,,,,,,,,,,,
A Few Best Men (2011),,"$5,401,857",,,,,,,,,,,,,,,,,,,,,,,"$112,268","$296,224","$347,302",,"$361,723",,"$133,773","$269,030","$1,118,120",,,,,,,,,,,,,"$78,111","$71,336",,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmopolis (2012),,"$212,734",,,"$1,001,528","$276,063","$411,170","$189,006","$2,270,504",,"$31,760","$17,422","$154,589","$58,206","$73,769","$184,448","$524,363","$130,640","$28,747",,"$119,413","$10,652","$6,787",,"$81,409",,"$101,345","$262,003","$31,222","$9,951","$2,627",,,,"$52,554",,,,,,,,,,,,,$597,,,,,,,,,,,,"$22,030",,,,,,,,,,,,,
Safety Not Guaranteed (2012),,"$92,450",,"$1,414",,$710,,,,,,,"$9,130",,,,"$142,983","$1,671",,,,,,,,,,,,,,"$142,083","$23,301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar 3: Europe's Most Wanted (2012),,"$25,567,458","$5,934,381","$248,102","$28,615,036","$13,397,864","$39,572,679","$10,870,584","$27,418,889","$2,898,510","$5,266,158","$2,828,770","$5,186,022","$3,735,595","$7,506,053","$5,220,450","$34,211,320","$2,811,350","$2,306,779","$3,535,749","$5,196,360","$681,625","$795,568","$907,655","$25,949,927","$12,554,510","$17,094,127","$28,562,135","$4,890,310","$4,286,857","$1,241,360","$2,851,251","$49,354,065","$4,860,625","$1,455,223","$4,022,126","$4,513,499","$451,603","$503,460","$119,784","$42,738",,,"$4,861,381","$1,816,740","$4,399,550","$2,538,994","$671,640","$1,355,857","$25,644,401","$2,936,568","$444,276","$254,837","$4,187,539",,,,,"$10,888,841","$4,149,734","$4,155,160",,,,"$31,513,925",,,,,,,,
