imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kenya,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East,Middle East Other,Middle East/UAE,Netherlands,Netherlands Antilles,New Zealand,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies,Yugoslavia
0061735,,Guess Who's Coming to Dinner (1967),,,,,,,,,,,,,,,,,,,"$56,666,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0191043,,The Color of Paradise (1999),,,,,,,,,,,"$20,422",,,,,,,,"$1,817,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,535",,,,,,,,,,,,,,
0027977,,Modern Times (1936),,"$4,750",,,,,,,,,"$1,342",,,,,,,,"$163,577",,,,,,"$194,349",,,,"$29,480",,,,,,,,,,,,,,,,,,,,,"$1,180",,,,,,,"$1,799",,,"$12,462",,,,,,,,"$54,679",,,,,,,,,,,,,,
0075860,,Close Encounters of the Third Kind (1977),,"$1,545",,,,,,,,,,,,,,,,,"$135,189,114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,651",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,352",,,,
0093378,,La Bamba (1987),,,,,,,,,,,,,,,,,,,"$54,215,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0138749,,The Road to El Dorado (2000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$96,454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0102057,,Hook (1991),,$153,,,,,,,,,,,,,,,,,"$119,654,823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0065126,,True Grit (1969),,,,,,,,,,,,,,,,,,,"$276,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100157,,Misery (1990),,,,,,,,,,,,,,,,,,,"$61,276,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0069293,,Solaris (1972),,,,,,,,,,,,,,,,,,,"$22,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$501,,,,,,,"$40,767",,,"$149,336",,,,,,,,,,,,,,,"$9,586",,,,,,,
