Movie Name,South Korea,Italy,China,Malaysia,Hong Kong,Vietnam,Singapore,United Arab Emirates,Oman,New Zealand,Thailand,Philippines,Japan,Russia/CIS,Taiwan,Norway,Peru,Mexico,Argentina,Venezuela,Chile,United Kingdom,France,South Africa,Spain,Australia,Türkiye,Germany,Greece,Poland,Austria,Finland,Netherlands,Czech Republic,Hungary,Domestic,Belgium,Ukraine,Qatar,Romania,Israel,Bahrain,Egypt,Lebanon,Switzerland (German),Nigeria,Bulgaria,Jordan,Portugal,Croatia,Switzerland (French),Kenya,Slovakia,Latvia,Lithuania,Estonia,Serbia and Montenegro,Slovenia,Ghana,Ethiopia,Brazil,Colombia,Ecuador,Bolivia,Uruguay,India,Iceland,Sweden,Denmark
Crazy Racer (2009),,,"$15,844,273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blind Detective (2013),,,"$32,061,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Alibis (2014),,,"$5,700,000",,"$7,124",,,,,,$129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colt 45 (2014),,,"$258,073",,,"$10,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf Warrior (2015),,,"$81,273,855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solace (2015),,,"$5,374,145",,,,,,,,,,,"$490,446",,,"$453,036","$2,905,274","$331,934",,"$42,154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$282,436","$110,539","$58,352",,"$121,399",,,,
"Bruce Lee, My Brother (2010)",,,"$2,052,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost and Love (2015),,,"$34,180,000","$118,792","$345,228",,"$82,553",,,"$14,787",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under the Mountain (2009),,,,"$371,332",,,,,,"$192,258","$49,230","$37,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bullet Vanishes (2012),,,,"$139,134","$1,034,476",,"$219,251",,,"$14,390","$3,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coming Soon (2008),,,,"$371,645","$497,571",,"$493,532",,,,"$1,394,256",,,,"$613,175",,"$184,191","$166,606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold War (2012),,,,"$2,144,883","$5,524,043",,"$753,929",,,"$21,246","$36,381",,,,,,,,,,,"$296,501",,,,"$62,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Momentum (2015),,,,"$65,175",,,,,,,"$69,146","$49,015",,"$256,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tales of Halloween (2015),,,,"$111,288",,,,,,,,,,"$138,705",,,,"$99,772",,"$20,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,989",,,,,
The Diabolical (2015),,,,"$61,210",,,,,,,"$23,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$167,016",,"$18,183",,,,,
Howl (2015),,,,"$104,080",,"$232,578",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hallow (2015),,,,"$179,973",,,,,,,,"$39,361",,"$140,422",,,"$287,976","$745,975",,,"$44,493","$144,981","$129,403",,,,,$208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$135,709",,,,,,,
Baby Blues (2012),,,,"$311,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Twins Effect II (2004),,,,,"$1,903,807",,,,,,"$278,400",,,"$273,109","$26,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House of Fury (2005),,,,,"$1,409,257",,,"$1,448,560",,,,,,,"$6,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journey to the Shore (2015),,,,,"$50,686",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone Tomahawk (2015),,,,,,,"$9,702",,,,,,,"$73,722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jem and the Holograms (2015),,,,,,,"$15,099","$18,853","$3,267",,,"$5,243",,,,"$14,953",,,,,,"$12,869","$7,005",,"$6,339",,,,,,,,,,,,,"$40,130",,,,,,,,,,,,"$4,515",,,,,,,,"$6,720",,,,,,,,,"$2,862",,
Foodies: The Culinary Jet Set (2014),,,,,,,"$4,045",,,,"$4,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I (2015),,,,,,,,"$1,525,562",,"$21,340",,,,,,,,,,,,,,,,"$203,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Perfect Guy (2015),,,,,,,,"$185,357","$7,204",,,,,,,$702,,,,,,"$342,500",,"$636,575",,,,"$74,869",,,,,,,,,,,"$15,264",,,"$20,299","$12,666","$58,147",,"$247,178",,"$11,563",,,,"$26,797",,,,,,,"$40,440","$5,107",,,,,,,,,
