Movie Name,Domestic,Italy,New Zealand,Australia,Portugal,Russia/CIS,South Korea,Czech Republic,Slovakia,France,Spain,Germany,United Kingdom,Belgium,Netherlands,South Africa,Türkiye,Switzerland,Greece,Denmark,Sweden,Hungary,Norway,Poland,Lebanon,Israel,Iceland,Finland,Bulgaria,Croatia,Baltic States,Japan,Thailand,Taiwan,Singapore,Hong Kong,Philippines,Indonesia,Brazil,Mexico,Puerto Rico,Argentina,Central America+,Venezuela,Chile,Colombia,West Indies,Peru,Ecuador,Bolivia,Uruguay,S/E/W Africa,Austria,Greece and Cyprus,Egypt,Central America,India,Malaysia,China,Ireland,Lebanon/United Arab Emirates,Slovenia,Latvia,Lithuania,Romania,Estonia,Paraguay,Russia/CIS/Ukraine,Czech Republic/Slovakia,Middle East/UAE,Jamaica,Dominican Republic,Lesser Antilles,Ukraine,Cyprus,Yugoslavia,Kenya,Pakistan,Sri Lanka,United Arab Emirates,Morocco,Serbia and Montenegro,East Africa,Jordan,Syria,Bahrain
Open Your Eyes (1997),"$370,720",,,,,,,,,"$4,389",,,,,,,,,,,,,,,,,,,,,,,,"$2,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election (1999),"$14,902,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Real (1998),"$1,152,979","$11,879",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mummy (1999),"$155,385,488","$16,384,558","$1,420,505","$12,818,925","$1,629,577",,"$11,988,884",,,"$18,607,224","$14,559,961","$29,970,048","$28,962,536","$4,548,623","$3,555,270","$1,854,526","$3,225,160","$2,670,880","$1,915,647","$1,470,609","$1,616,463","$1,271,718","$1,533,284","$1,824,554","$381,703","$2,084,037","$249,571","$1,204,830",,"$213,978",,"$27,114,817","$3,326,587","$9,302,501","$2,053,089","$3,563,336","$2,108,697","$777,553","$222,998","$12,456,764",,"$5,180,357","$2,875,655","$2,220,860","$2,296,536","$1,654,215",,"$1,094,330","$297,822",,,,"$2,918,880",,,,"$4,464,880","$955,601",,,,"$221,493",,,"$171,192",,,"$161,902","$1,064,806","$517,642",,,"$226,939",,"$183,802","$89,243","$51,913","$79,792","$8,914",,,,,,,
The Castle (1997),"$877,621",,,$241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiu Xiu: The Sent-Down Girl (1998),"$1,010,933",,,,,,,,,,"$7,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Wars: Episode I - The Phantom Menace (1999),"$474,544,677","$12,930,223","$3,415,020","$25,492,472","$2,093,543","$4,631,782","$7,132,317","$892,457","$46,702","$42,998,530","$24,992,347","$53,902,082","$81,944,138","$4,807,277","$6,260,334","$2,025,817","$1,810,584","$4,870,536","$1,573,647","$4,275,616","$7,414,882","$2,331,590","$3,341,704","$4,723,128","$185,088","$1,504,373","$525,136","$3,111,622","$487,200","$359,738",,"$109,905,784","$3,083,849","$6,385,698","$1,970,957","$2,921,715","$2,255,888",,"$10,379,025","$12,027,119","$2,881,233","$7,474,281","$1,685,122","$1,701,684","$3,458,070","$1,731,294",,"$1,298,391","$355,440","$389,851","$379,980",,"$5,026,854",,"$154,264",,"$538,518","$1,390,978","$4,100,273",,,"$222,355","$123,340","$162,902","$212,753","$133,385","$108,641",,,,"$123,661","$207,329","$179,869","$186,804",,,,,,"$800,891","$184,249","$88,867","$50,150","$33,164","$32,807","$5,183"
Superman (1978),"$134,478,449",,$395,$14,,,,,,,"$17,070",,"$92,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rocky Horror Picture Show (1975),"$112,892,319","$29,031","$50,413","$66,824",,,,,,,,"$47,240","$2,225,922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notting Hill (1999),"$116,089,678",,,"$17,925",,"$450,000","$415,801",,,,,,"$23,436",,"$7,226,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twice Upon a Yesterday (1998),"$279,757",,,,,,"$6,350,454",,,"$221,574","$140,080",,,,,,,,,,,,,,"$21,545",,,,,,,,,"$3,396",,,,,,,,"$75,190",,,,,,"$41,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,297",,,,,,
Buena Vista Social Club (1999),"$7,002,182",,,,,,"$139,017",,,,,,$892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Legend of 1900 (1998),"$167,435",,,,,"$53,802","$328,821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,511,281",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Late August, Early September (1998)","$69,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autumn Tale (1998),"$2,205,339",,,,,,"$5,971",,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyes Wide Shut (1999),"$55,691,208",,$868,,,"$110,929","$41,930",,,,,,"$36,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghostbusters (1984),"$243,578,797",,"$15,883","$146,073",,,,,,,,,"$161,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Blue Sea (1999),"$73,648,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystery Men (1999),"$29,762,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
