Movie Name,Domestic,Australia,United Kingdom,Portugal,France,New Zealand,South Korea,Japan,Hong Kong,Taiwan,Singapore,Thailand,Malaysia,Philippines,Germany,Italy,Netherlands,Sweden,Spain,Switzerland,Belgium,Austria,South Africa,Norway,Israel,Denmark,Finland,Greece,Kenya,Türkiye,Hungary,Brazil,Argentina,Mexico,Colombia,Venezuela,Chile,Peru,Ecuador,Central America,Uruguay,Lesser Antilles,Dominican Republic,United Arab Emirates,Czech Republic,Bulgaria,Lebanon,Ukraine,Iceland,Serbia and Montenegro,Latvia,Croatia,Bolivia,Russia/CIS,Poland,Baltic States,Middle East,Slovenia,Czech Republic/Slovakia,Puerto Rico,West Indies,India,Greece and Cyprus,S/E/W Africa,Egypt,Jamaica,Cyprus,Romania,Indonesia,Trinidad & Tobago,China,Middle East Other,Yugoslavia,Sri Lanka,Russia/CIS/Ukraine,Middle East/UAE,Lithuania,Estonia,Central America+,Paraguay,Netherlands Antilles,Panama
Gladiator (2000),"$187,705,427","$18,470,283","$77,153,447","$1,487,964","$24,460,317","$2,340,451","$13,725,195","$15,486,406","$1,228,209","$3,282,126","$1,361,166","$1,338,369","$530,172","$1,769,414","$21,372,982","$12,536,779","$8,562,292","$5,081,126","$18,256,688","$3,972,614","$4,886,833","$2,576,010","$1,669,779","$1,732,152","$2,260,851","$3,702,898","$1,362,490","$3,585,077",,"$2,640,567","$1,466,127","$8,588,676","$5,456,763","$11,152,492","$1,414,288","$1,268,728","$1,743,137","$909,518",,"$1,203,554",,,,,"$818,303","$265,958","$534,145",,"$153,503",,,"$278,268",,"$802,798","$5,002,439",,,"$268,884",,,,"$2,445,312",,,"$569,850",,"$203,539","$129,283","$540,779","$36,393","$3,376,447",,,,,,,,,,,
Pee-wee's Big Adventure (1985),"$41,047,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Possession (1981),"$1,158,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 ½ Women (1999),"$424,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monsieur Verdoux (1947),"$64,636","$1,082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On Her Majesty's Secret Service (1969),"$22,774,493",,"$13,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Spy Who Loved Me (1977),"$46,838,673",,"$36,660",,,$431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Gigolo (1980),"$22,743,674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Endless Summer (1966),"$10,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandora and the Flying Dutchman (1951),"$17,401",,,,"$14,404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blazing Saddles (1974),"$119,616,663",,,,,$602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Christmas (1954),"$928,298","$1,212","$169,697",,,,"$9,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baraka (1992),"$1,332,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Simple (1984),"$3,851,855",$443,"$9,148",,,$822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porky's (1981),"$111,289,673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
