Movie Name,Argentina,Uruguay,Australia,Russia/CIS,Türkiye,France,Spain,Germany,United Kingdom,United Arab Emirates,Romania,Belgium,Portugal,Ukraine,South Africa,Oman,Thailand,Singapore,Philippines,Domestic,New Zealand,South Korea,Austria,Lebanon,Peru,India,Malaysia,Nigeria,Kenya,Venezuela,Italy,Poland,Netherlands,Sweden,Czech Republic,Slovakia,Lithuania,Greece,Croatia,Latvia,Mexico,Ecuador,Bolivia,Vietnam,Bahrain,Brazil,Norway,Iceland,Chile,Colombia,Taiwan,Denmark,Slovenia,Hungary,Switzerland (French),Switzerland (German),China,Finland,Bulgaria,Serbia and Montenegro,Israel,Qatar,Hong Kong,Cambodia,Switzerland,Estonia,Japan,Ethiopia,Ghana,Egypt,Indonesia
Maggie's Plan (2015),,,"$307,173",,"$16,737","$344,427","$65,254",,"$628,457","$7,760",,,"$23,101",,"$53,471",,,,,,,"$326,767",,,"$16,816",,,,,,"$306,447","$57,275","$201,182",,"$11,132","$8,438","$9,473",,,,"$75,234",,,,,"$63,536",$193,,,,,,"$9,283",,,,,,,,,,,,,,,,,,
Airlift (2016),,,"$143,440",,,,,,,,,,,,,,,,,,"$139,355",,,,,"$8,800,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Eagle Huntress (2016),,,"$477,773",,"$1,372",,,,"$475,970",,,,$771,,,,,,,"$3,169,351","$128,208",,$913,,,,,,,,"$81,211",,"$35,147",,,,,"$31,010",,,,,,,,,,,,,,,"$3,008",,,,,,,,,,,,,,,,,,
Holding the Man (2015),,,"$761,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjaana Anjaani (2010),,,"$103,297",,,,,,"$577,786",,,,,,,,,,,,"$39,284",,,,,"$7,447,107","$26,166","$9,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,423",,
Miles Ahead (2015),,,"$111,245",,,,"$88,623",,"$242,629",,,"$18,508","$21,453",,"$7,916",,,,,,,"$75,721","$2,226",,"$6,780",,,,,,,"$27,166",,,,,,,,,,,,,,,,,,,,"$16,395","$10,456",,,,,,,,,,,,,,"$233,944",,,,
Triple 9 (2016),,,"$631,619","$523,156","$77,678","$1,669,404","$598,053",,"$2,041,254","$494,911","$160,214","$62,667","$54,163",,"$73,486","$101,178","$38,103","$83,197","$14,329",,,"$269,714",,"$48,661",,,,,,,"$1,294,802","$219,088","$471,095","$161,528",,,"$13,316","$58,506",,,,,,,,,,"$26,436",,,"$78,279",,,,,"$276,096","$944,264",,"$53,454",,,,,,,,,,,,
Neerja (2016),,,"$83,796",,,,,,"$153,334","$958,776",,,,,,"$105,188",,,,,"$60,386",,,,,"$14,671,113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whiskey Tango Foxtrot (2016),,,"$1,568,347",,,,,,"$175,508",,,,,,"$15,415",,,,,,"$72,628","$20,097",,,,,,,,,"$36,810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Brothers Grimsby (2016),,,"$2,815,615","$2,306,082",,"$405,762","$1,087,157","$1,223,678","$7,564,877",,"$221,932","$67,241","$202,823","$312,128","$45,549",,,"$140,335",,,"$344,880",,"$349,841",,,,,,,,"$137,603","$243,569","$526,814","$246,394","$116,456","$68,924","$101,197","$99,690","$144,933","$62,323",,,,,,,"$310,941","$98,066",,,,"$121,358","$68,177","$131,282",,"$388,057",,"$400,130","$82,423","$68,017","$516,565",,,,,"$83,384",,,,,
