Movie Name,Domestic,United Kingdom,Greece,Germany,France,Netherlands,Austria,Spain,South Africa,Italy,Czech Republic,Hungary,Mexico,Brazil,Argentina,Australia,New Zealand,Hong Kong,Türkiye,Egypt,Bulgaria,Japan,South Korea,Taiwan,Norway,Chile,Finland,Poland,Russia/CIS,Portugal,Switzerland,Czech Republic/Slovakia,Sweden,Denmark,Israel,Middle East Other,Slovenia,Cyprus,Lebanon,Romania,Croatia,East Africa,Iceland,Peru,Venezuela,Central America+,Colombia,Russia/CIS/Ukraine,Thailand,Philippines,India,Singapore,Belgium,Middle East/UAE,Estonia,Ukraine,Lithuania,Serbia and Montenegro,Latvia,Puerto Rico,Ecuador,Uruguay,Lesser Antilles,Dominican Republic,Bolivia,Jamaica,Paraguay,Malaysia,Indonesia,China,Russia,Baltic States,West Indies,Pakistan,Sri Lanka,New Caledonia,Vietnam,Bangladesh,United Arab Emirates,Kuwait,Bahrain,Slovakia,Qatar,Morocco,Mauritius,Reunion,Jordan,Oman,Tunisia,Djibouti,Aruba,Curaçao,Kenya,Lebanon/United Arab Emirates,Middle East,Palestine,Central America
Children of the Century (1999),,,,,,,,"$304,330",,,,,,,,,,,,,,,,,,"$20,683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quitting (2001),,,,,,,,"$7,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Grey Zone (2001),,,,,,,,"$103,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food of Love (2002),,,,,,,,"$69,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Blackboard (2000),,,,,,,,"$18,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empire (2002),,,,,,,,"$207,065","$31,824",,,,"$428,530","$12,975","$13,346",,,,,,,,,,,,,,,,,,,,,,,,"$56,503",,,,,,,"$42,872","$54,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Liza (2002),,,,,,,,"$10,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Shot's Funeral (2001),,,,,,,,"$33,856",,"$3,619",,,,,,"$5,611",,,,,,,,"$7,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Tale of Springtime (1990),,,,,,,,,,"$6,687",,,,,,,,,,,,,,"$3,298",,,,,,"$1,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stolen Summer (2002),,,,,,,,,,"$27,940",,,,,,$672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuck Everlasting (2002),,,,,,,,,,"$3,311",,,"$35,444",,,"$2,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Velocity (2002),,,,,,,,,,"$26,996",,,"$34,761",,"$17,446",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Country Bears (2002),,,,,,,,,,,,,"$632,820",,,"$31,585","$87,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Matter of Taste (2000),,,,,,,,,,,,,"$40,428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Way Home (2002),,,,,,,,,,,,,"$134,899",,"$154,952",,,"$477,285",,,,,"$23,448,463","$284,894",,"$6,878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Stands Still (2002),,,,,,,,,,,,,"$525,238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cat's Meow (2001),,,,,,,,,,,,,,,,"$393,888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nijinsky: The Diaries of Vaslav Nijinsky (2001),,,,,,,,,,,,,,,,"$7,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who Is Cletis Tout? (2001),,,,,,,,,,,,,,,,"$27,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday After Next (2002),,,,,,,,,,,,,,,,"$45,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imitation of Life (1959),,,,,,,,,,,,,,,,$365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanoids from the Deep (1980),,,,,,,,,,,,,,,,,$160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rome, Open City (1945)",,,,,,,,,,,,,,,,,"$5,252",,,,,,,,,,,,,"$19,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All About Lily Chou-Chou (2001),,,,,,,,,,,,,,,,,,"$11,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All About the Benjamins (2002),,,,,,,,,,,,,,,,,,,"$21,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Isle (2000),,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Strawberries (1957),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,894","$14,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cranes Are Flying (1957),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul Assassin (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brother (1997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,362,281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The American Friend (1977),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Woman in Red (1984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
