Movie Name,Domestic,United Kingdom,Spain,France,Italy,Germany,Netherlands,Poland,Belgium,Austria,Greece,Türkiye,Sweden,East Africa,Portugal,United Arab Emirates,South Africa,Estonia,Lithuania,Russia/CIS,Australia,Taiwan,Hong Kong,Malaysia,Singapore,Thailand,South Korea,Philippines,Mexico,Brazil,Argentina,Peru,Venezuela,Uruguay,Finland,Czech Republic,New Zealand,Lebanon,Iceland,Ukraine,Japan,Norway,Denmark,Israel,Slovenia,Hungary,Croatia,Romania,Slovakia,Egypt,Nigeria,Latvia,Serbia and Montenegro,Ghana,Colombia,Ecuador,Bolivia,China,Ethiopia,Dominican Republic,Curaçao,Aruba,Vietnam,India,Bulgaria,Chile,Central America,Russia,Kuwait,Switzerland,Qatar,Oman,Bahrain,Jordan,Indonesia,Trinidad & Tobago,Jamaica,Switzerland (German),Switzerland (French),Switzerland (Italian),Iraq,Mongolia,Pakistan
Kill List (2011),"$29,063","$417,731",,,,,,,$454,,,,,,"$3,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Artist (2011),"$44,671,682","$15,779,834","$6,686,116","$26,280,646","$3,528,704","$5,502,089","$1,180,449","$421,892","$1,142,551","$594,885","$765,142","$34,715","$736,202",,"$432,710","$112,061","$199,785",,,"$2,773,514","$3,181,998",,"$437,434",,"$111,288","$87,919",,,"$1,797,021","$2,127,931","$1,166,339","$219,208","$211,431","$169,642","$270,060","$136,320","$367,203","$57,326","$71,383","$204,464","$3,288,085","$326,515","$950,557",,"$26,990","$54,776","$34,861",,"$33,156",,,,"$33,759",,"$606,450","$39,854","$30,494",,,,,,,,"$40,732","$94,747",,,,,,,,,,,,,,,,,
Meek's Cutoff (2010),,"$191,882",,,,,,,,"$17,286",,,,,"$15,305",,,,,,"$3,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hobo with a Shotgun (2011),,"$41,974",,,,,,,,,,,,,,,,,,"$3,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Win Win (2011),,"$731,851","$294,394","$56,236","$9,047","$88,914",,,,,,"$47,541",,,,,"$29,347",,,,"$274,644",,,,"$8,195",,,,,,,,,,"$9,905","$3,483","$56,781",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diary of a Wimpy Kid: Rodrick Rules (2011),,"$8,507,987","$149,712","$1,303","$546,695","$2,341,717",,,,,,"$395,559",,,,,"$56,568",,,,"$6,219,246",,,"$150,532","$290,671",,,"$145,779",,"$590,094",,,,,,,"$432,598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry's Crime (2010),,"$102,399",,,,,,,,,,"$113,288",,,,"$39,698",,,,"$1,587,260",,,"$39,029","$76,482","$10,613",,,,,,,,,,,,,"$8,634",,"$89,855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Arbor (2010),,"$103,886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Assassins (2010),,"$590,316","$93,007",,"$263,079",,,,,,,,,,,,,,,"$12,784","$72,584",,,,"$46,593",,,,,"$27,514",,,,,,,"$28,040",,,,"$16,752,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanna (2011),,"$6,090,635","$1,506,852","$817,780","$567,320","$2,915,340",,"$279,180","$138,390","$193,075","$437,680","$317,197","$144,354","$14,603","$201,120","$403,610","$142,528","$11,380","$17,768","$1,966,472","$1,936,363","$170,324","$141,443","$284,558","$209,121","$148,406","$1,464,299","$18,103",,,"$182,098",,,,"$132,751","$36,362","$366,724","$37,424","$40,949","$180,932","$741,825","$237,434","$166,817",,"$40,354","$45,556","$46,078","$103,630",,"$39,051","$72,461","$21,886","$29,099","$9,495",,,,,"$3,286","$27,100","$26,198","$7,788","$163,833","$144,978",,,,,,,,,,,,,,,,,,,
Arthur (2011),,"$5,414,235",,,,"$498,212","$441,069",,,"$169,271",,,"$230,243",,"$133,267","$432,112","$517,670","$52,801",,,"$5,292,540",,,,"$528,931",,,"$218,224",,,,"$187,726",,,,,"$685,345","$32,913","$47,470",,,"$95,610",,,,,,,,,,,,,"$134,909",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Princess of Montpensier (2010),,"$111,758",,"$5,922,378",,,,,"$90,894",,"$23,085",,,,"$7,546","$10,105",,,,"$409,421","$13,053",,,,,,,,,,"$13,040",,,,,,,"$3,247",,,,,,,,,,"$8,246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
